<think>
The user now needs to transcribe this PDF page completely, preserving the original format. First, look at the title "APPRENTICE SCHEDULE," then examine the content on both the left and right sides, which are divided into columns labeled NO. and POSITION, along with corresponding amounts. There is also explanatory text below.

First, organize the structure: the left side contains a list of positions and their corresponding NO. numbers, while the right side follows the same format. Then there are footnotes at the bottom.

Now, process line by line:

**Left Column:**

NO. | POSITION | Amount  
---|---|---  
J01160 | Electric Meter Technician Apprentice-1st Year*** | $23.77  
J01159 | Electric Meter Technician Apprentice-2nd Year*** | $24.99  
J01158 | Electric Meter Technician Apprentice-3rd Year*** | $26.21  
J01157 | Electric Meter Technician Apprentice-4th Year*** | $27.43  
J01211 | Electrician Apprentice-1st Year*** | $24.82  
J01210 | Electrician Apprentice-2nd Year*** | $26.09  
J01209 | Electrician Apprentice-3rd Year*** | $27.37  
J01208 | Electrician Apprentice-4th Year*** | $28.64  
J01249 | Engineering Technician Apprentice-1st Year*** | $23.26  
J01248 | Engineering Technician Apprentice-2nd Year*** | $24.45  
J01247 | Engineering Technician Apprentice-3rd Year*** | $25.65  
J01246 | Engineering Technician Apprentice-4th Year*** | $26.84  
J01123 | Garage Mechanic Apprentice-1st Year*** | $22.32  
J01122 | Garage Mechanic Apprentice-2nd Year*** | $23.46  
J01121 | Garage Mechanic Apprentice-3rd Year*** | $24.60  
J01120 | Garage Mechanic Apprentice-4th Year*** | $25.75  
J01125 | Garage Mechanic II Apprentice-1st Year*** | $21.41  
J01124 | Garage Mechanic II Apprentice-2nd Year*** | $22.41  
J01177 | Gas Meter Technician Apprentice-1st Year*** | $22.95  
J01176 | Gas Meter Technician Apprentice-2nd Year*** | $24.02  
J01173 | Gas Metering Specialist Apprentice-1st Year*** | $24.47  
JD1172 | Gas Metering Specialist Apprentice-2nd Year*** | $25.66  
J01171 | Gas Metering Specialist Apprentice-3rd Year*** | $26.86  
J01241 | Gas Technician Apprentice-1st Year*** | $22.72  
J01242 | Gas Technician Apprentice-2nd Year*** | $23.83  
J01243 | Gas Technician Apprentice-3rd Year*** | $24.94  
J01284 | Laboratory Technician Apprentice-1st Year (6) | $24.81  
J01138 | Line Apprentice-1st Year*** | $24.11  
J01137 | Line Apprentice-2nd Year*** | $25.35  
J01136 | Line Apprentice-3rd Year*** | $26.58  
J01135 | Line Apprentice-4th Year*** | $27.82  

**Right Column:**

NO. | POSITION | Amount  
---|---|---  
J01152 | Line Clearance Apprentice-1st Year*** | $23.07  
J01151 | Line Clearance Apprentice-2nd Year*** | $24.14  
J01344 | Maintenance Electrician Apprentice-1st Year*** | $24.82  
J01343 | Maintenance Electrician Apprentice-2nd Year*** | $26.09  
J01342 | Maintenance Electrician Apprentice-3rd Year*** | $27.37  
J01341 | Maintenance Electrician Apprentice-4th Year*** | $28.64  
J01348 | Maintenance Instrument and Control Apprentice-1st Year*** | $24.82  
J01347 | Maintenance Instrument and Control Apprentice-2nd Year*** | $26.09  
J01346 | Maintenance Instrument and Control Apprentice-3rd Year*** | $27.37  
J01345 | Maintenance Instrument and Control Apprentice-4th Year*** | $28.64  
J01350 | Maint. Instrument and Control Apprentice (RR/ND)-1st Year*** | $26.09  
J01349 | Maint. Instrument and Control Apprentice (RR/ND)-2nd Year*** | $27.37  
J02843 | Maint. Instrument and Control Apprentice (RR/ND)-3rd Year*** | $28.64  
J01354 | Maintenance Technician - Electrical Apprentice-1st Year*** | $25.33  
J01353 | Maintenance Technician - Electrical Apprentice-2nd Year*** | $26.63  
J01352 | Maintenance Technician - Electrical Apprentice-3rd Year*** | $27.92  
J01351 | Maintenance Technician - Electrical Apprentice-4th Year*** | $29.22  
J01311 | Maintenance Technician - Mechanical Apprentice-1st Year (7) | $24.30  
J01310 | Maintenance Technician - Mechanical Apprentice-2nd Year (7) | $25.55  
J01309 | Maintenance Technician - Mechanical Apprentice-3rd Year (7) | $26.80  
J01308 | Maintenance Technician - Mechanical Apprentice-4th Year (7) | $28.04  
J01233 | Regulation Technician Apprentice-1st Year*** | $23.19  
J01234 | Regulation Technician Apprentice-2nd Year*** | $24.32  
J01235 | Regulation Technician Apprentice-3rd Year*** | $25.45  
J01189 | Service Technician Apprentice-1st Year*** | $22.66  
J01168 | Service Technician Apprentice-2nd Year*** | $23.72  
J01164 | Single Phase Meter Apprentice-1st Year*** | $22.22  
J01163 | Single Phase Meter Apprentice-2nd Year*** | $23.26  
J01134 | Utility Technician Apprentice-1st Year*** | $23.84  
J01133 | Utility Technician Apprentice-2nd Year*** | $24.95  

**Footnotes:**

***Apprentice program rates are based on the maximum Journeyman rate:  
Four Year: 78%—1st year, 82%—2nd year, 86%—3rd year, 90%—4th year.  
Three Year: 82%—1st year, 86%—2nd year, 90%—3rd year.  
Two Year: 85%—1st year, 90%—2nd year.  

(6) Rate based at 90% of maximum Journeyman rate.  
(7) Rate based on the maximum rate for position J01312.  

Also note that the number "111" appears vertically on the left side, which should be preserved.

Now ensure that every entry is accurate, including punctuation, symbols, and parentheses. Check each row carefully to avoid omissions.
</think>

APPRENTICE SCHEDULE

111

NO. | POSITION |  
---|---|---  
J01160 | Electric Meter Technician Apprentice-1st Year*** | $23.77  
J01159 | Electric Meter Technician Apprentice-2nd Year*** | $24.99  
J01158 | Electric Meter Technician Apprentice-3rd Year*** | $26.21  
J01157 | Electric Meter Technician Apprentice-4th Year*** | $27.43  
J01211 | Electrician Apprentice-1st Year*** | $24.82  
J01210 | Electrician Apprentice-2nd Year*** | $26.09  
J01209 | Electrician Apprentice-3rd Year*** | $27.37  
J01208 | Electrician Apprentice-4th Year*** | $28.64  
J01249 | Engineering Technician Apprentice-1st Year*** | $23.26  
J01248 | Engineering Technician Apprentice-2nd Year*** | $24.45  
J01247 | Engineering Technician Apprentice-3rd Year*** | $25.65  
J01246 | Engineering Technician Apprentice-4th Year*** | $26.84  
J01123 | Garage Mechanic Apprentice-1st Year*** | $22.32  
J01122 | Garage Mechanic Apprentice-2nd Year*** | $23.46  
J01121 | Garage Mechanic Apprentice-3rd Year*** | $24.60  
J01120 | Garage Mechanic Apprentice-4th Year*** | $25.75  
J01125 | Garage Mechanic II Apprentice-1st Year*** | $21.41  
J01124 | Garage Mechanic II Apprentice-2nd Year*** | $22.41  
J01177 | Gas Meter Technician Apprentice-1st Year*** | $22.95  
J01176 | Gas Meter Technician Apprentice-2nd Year*** | $24.02  
J01173 | Gas Metering Specialist Apprentice-1st Year*** | $24.47  
JD1172 | Gas Metering Specialist Apprentice-2nd Year*** | $25.66  
J01171 | Gas Metering Specialist Apprentice-3rd Year*** | $26.86  
J01241 | Gas Technician Apprentice-1st Year*** | $22.72  
J01242 | Gas Technician Apprentice-2nd Year*** | $23.83  
J01243 | Gas Technician Apprentice-3rd Year*** | $24.94  
J01284 | Laboratory Technician Apprentice-1st Year (6) | $24.81  
J01138 | Line Apprentice-1st Year*** | $24.11  
J01137 | Line Apprentice-2nd Year*** | $25.35  
J01136 | Line Apprentice-3rd Year*** | $26.58  
J01135 | Line Apprentice-4th Year*** | $27.82  


NO. | POSITION |  
---|---|---  
J01152 | Line Clearance Apprentice-1st Year*** | $23.07  
J01151 | Line Clearance Apprentice-2nd Year*** | $24.14  
J01344 | Maintenance Electrician Apprentice-1st Year*** | $24.82  
J01343 | Maintenance Electrician Apprentice-2nd Year*** | $26.09  
J01342 | Maintenance Electrician Apprentice-3rd Year*** | $27.37  
J01341 | Maintenance Electrician Apprentice-4th Year*** | $28.64  
J01348 | Maintenance Instrument and Control Apprentice-1st Year*** | $24.82  
J01347 | Maintenance Instrument and Control Apprentice-2nd Year*** | $26.09  
J01346 | Maintenance Instrument and Control Apprentice-3rd Year*** | $27.37  
J01345 | Maintenance Instrument and Control Apprentice-4th Year*** | $28.64  
J01350 | Maint. Instrument and Control Apprentice (RR/ND)-1st Year*** | $26.09  
J01349 | Maint. Instrument and Control Apprentice (RR/ND)-2nd Year*** | $27.37  
J02843 | Maint. Instrument and Control Apprentice (RR/ND)-3rd Year*** | $28.64  
J01354 | Maintenance Technician - Electrical Apprentice-1st Year*** | $25.33  
J01353 | Maintenance Technician - Electrical Apprentice-2nd Year*** | $26.63  
J01352 | Maintenance Technician - Electrical Apprentice-3rd Year*** | $27.92  
J01351 | Maintenance Technician - Electrical Apprentice-4th Year*** | $29.22  
J01311 | Maintenance Technician - Mechanical Apprentice-1st Year (7) | $24.30  
J01310 | Maintenance Technician - Mechanical Apprentice-2nd Year (7) | $25.55  
J01309 | Maintenance Technician - Mechanical Apprentice-3rd Year (7) | $26.80  
J01308 | Maintenance Technician - Mechanical Apprentice-4th Year (7) | $28.04  
J01233 | Regulation Technician Apprentice-1st Year*** | $23.19  
J01234 | Regulation Technician Apprentice-2nd Year*** | $24.32  
J01235 | Regulation Technician Apprentice-3rd Year*** | $25.45  
J01189 | Service Technician Apprentice-1st Year*** | $22.66  
J01168 | Service Technician Apprentice-2nd Year*** | $23.72  
J01164 | Single Phase Meter Apprentice-1st Year*** | $22.22  
J01163 | Single Phase Meter Apprentice-2nd Year*** | $23.26  
J01134 | Utility Technician Apprentice-1st Year*** | $23.84  
J01133 | Utility Technician Apprentice-2nd Year*** | $24.95  


***Apprentice program rates are based on the maximum Journeyman rate:  
Four Year: 78%—1st year, 82%—2nd year, 86%—3rd year, 90%—4th year.  
Three Year: 82%—1st year, 86%—2nd year, 90%—3rd year.  
Two Year: 85%—1st year, 90%—2nd year.  

(6) Rate based at 90% of maximum Journeyman rate.  
(7) Rate based on the maximum rate for position J01312.
