<think>
The user now needs to transcribe the content of a PDF page into Markdown format, preserving the original structure. First, examine the table columns: the left side contains section titles and sub-items, followed by Page, Article, and Paragraph.

Start with the first section, FUNERAL PAY:
- Employee or retiree → Page 29-30, Article XXIV-, Paragraph 7  
- Pallbearer → Page 30, Article XXIV, Paragraph 6  

Next is GRIEVANCE:
- Procedure → Page 1-2  
- Right to hearing → Page 7, Article I, Paragraph 3  

HEADQUARTERS:
- Travel time to and from → Page 22, Article XV, Paragraph 1  

HOLIDAYS:
- Designation → Page 49, Article XXXII, Paragraph 2b,2c,3  
- During vacation → Page 27, Article XX, Paragraph 14  
- Flexible → Page 48, Article XXXII, Paragraph 1b  
- List → Page 48, Article XXXII, Paragraph 1  
- Pay → Page 48-49, Article XXXII, Paragraph 2  
- Work on → Page 49, Article XXXII, Paragraph 2a  

HOURS:
- Clerical employees → Page 37-40, Article XXX  
- Other employees → Page 43-46, Article XXXI, Paragraph 6  
- Outside crews → Page 40-41, Article XXXI, Paragraph 4  
- Physical employees → Page 40-48, Article XXXI  
- Shift employees → Page 41-43, Article XXXI, Paragraph 5  

IDLE TIME PREMIUM → Page 50, Article XXXIII, Paragraph 9  

JOBS, UNCLASSIFIED → Page 51, Article XXXIV  

JOB SHARING PROGRAM:
- Appendix 3 → Page 121-124  
- Clerical → Page 37, Article XXX, Paragraph 3c  
- Physical → Page 40, Article XXXI, Paragraph 2b  

JOB-SITE REPORTING:
- Allowances → Page 22-24, Article XV  
- Beyond 25 miles → Page 23, Article XV, Paragraph 2  
- Lodging and meals → Page 23, Article XV, Paragraph 3,4  
- Use of company vehicle → Page 22-23, Article XV, Paragraph 1,3  
- (Note: The original entry "Use of company vehicle" appears twice in the input, but based on the user's instruction to preserve the original, it will be retained as-is.)

JURY DUTY → Page 20, Article XII, Paragraph 2  

LABOR MANAGEMENT COUNCIL → Page 5  

Now organize all this information into a Markdown table, ensuring that each row corresponds correctly. Note that some rows may have empty cells—for example, under GRIEVANCE, Procedure has no Article or Paragraph listed, so those fields should remain blank.

Here is the final structured table:

| Section | Sub-item | Page | Article | Paragraph |
| --- | --- | --- | --- | --- |
| FUNERAL PAY | Employee or retiree | 29-30 | XXIV- | 7 |
|  | Pallbearer | 30 | XXIV | 6 |
| GRIEVANCE | Procedure | 1-2 |  |  |
|  | Right to hearing | 7 | I | 3 |
| HEADQUARTERS | Travel time to and from | 22 | XV | 1 |
| HOLIDAYS | Designation | 49 | XXXII | 2b,2c,3 |
|  | During vacation | 27 | XX | 14 |
|  | Flexible | 48 | XXXII | 1b |
|  | List | 48 | XXXII | 1 |
|  | Pay | 48-49 | XXXII | 2 |
|  | Work on | 49 | XXXII | 2a |
| HOURS | Clerical employees | 37-40 | XXX |  |
|  | Other employees | 43-46 | XXXI | 6 |
|  | Outside crews | 40-41 | XXXI | 4 |
|  | Physical employees | 40-48 | XXXI |  |
|  | Shift employees | 41-43 | XXXI | 5 |
| IDLE TIME PREMIUM |  | 50 | XXXIII | 9 |
| JOBS, UNCLASSIFIED |  | 51 | XXXIV |  |
| JOB SHARING PROGRAM | Appendix 3 | 121-124 |  |  |
|  | Clerical | 37 | XXX | 3c |
|  | Physical | 40 | XXXI | 2b |
| JOB-SITE REPORTING | Allowances | 22-24 | XV |  |
|  | Beyond 25 miles | 23 | XV | 2 |
|  | Lodging and meals | 23 | XV | 3,4 |
|  | Use of company vehicle | 22-23 | XV | 1,3 |
|  | Use of company vehicle | 24 | XV | 4 |
| JURY DUTY |  | 20 | XII | 2 |
| LABOR MANAGEMENT COUNCIL |  | 5 |  |  |

Finally, verify that the content matches the original exactly, including the duplicate entry for "Use of company vehicle," which appears twice in the input. Ensure that all entries are accurately transcribed.
</think>

| Section | Sub-item | Page | Article | Paragraph |
| --- | --- | --- | --- | --- |
| FUNERAL PAY | Employee or retiree | 29-30 | XXIV- | 7 |
|  | Pallbearer | 30 | XXIV | 6 |
| GRIEVANCE | Procedure | 1-2 |  |  |
|  | Right to hearing | 7 | I | 3 |
| HEADQUARTERS | Travel time to and from | 22 | XV | 1 |
| HOLIDAYS | Designation | 49 | XXXII | 2b,2c,3 |
|  | During vacation | 27 | XX | 14 |
|  | Flexible | 48 | XXXII | 1b |
|  | List | 48 | XXXII | 1 |
|  | Pay | 48-49 | XXXII | 2 |
|  | Work on | 49 | XXXII | 2a |
| HOURS | Clerical employees | 37-40 | XXX |  |
|  | Other employees | 43-46 | XXXI | 6 |
|  | Outside crews | 40-41 | XXXI | 4 |
|  | Physical employees | 40-48 | XXXI |  |
|  | Shift employees | 41-43 | XXXI | 5 |
| IDLE TIME PREMIUM |  | 50 | XXXIII | 9 |
| JOBS, UNCLASSIFIED |  | 51 | XXXIV |  |
| JOB SHARING PROGRAM | Appendix 3 | 121-124 |  |  |
|  | Clerical | 37 | XXX | 3c |
|  | Physical | 40 | XXXI | 2b |
| JOB-SITE REPORTING | Allowances | 22-24 | XV |  |
|  | Beyond 25 miles | 23 | XV | 2 |
|  | Lodging and meals | 23 | XV | 3,4 |
|  | Use of company vehicle | 22-23 | XV | 1,3 |
|  | Use of company vehicle | 24 | XV | 4 |
| JURY DUTY |  | 20 | XII | 2 |
| LABOR MANAGEMENT COUNCIL |  | 5 |  |  |

127
