<think>
The user now needs to transcribe the table from the PDF page, preserving the original order, headings, paragraphs, lists, and tables. First, examine the structure of the table: three columns—Article, Title, and Page. Each row corresponds to an article number, its title, and the page number.

First, list each row one by one:

Article XXVIII: Transfers, Promotions and Demotions; Page 33  
Article XXIX: Temporary Substitutions; Page 35  
Article XXX: Hours for Clerical Employees; Page 37  
Article XXXI: Hours for Physical Employees; Page 40  
Article XXXII: Holidays and Holiday Pay; Page 48  
Article XXXIII: Premium Pay; Page 49  
Article XXXIV: Unclassified Jobs; Page 51  
Article XXXV: Special Rates and Trial Periods; Page 51  
Article XXXVI: Wage Schedule for Physical Positions May 18, 2003 - November 27, 2004; Page 52  
Article XXXVII: Wage Schedule for Clerical Positions May 18, 2003 - November 27, 2004; Page 64  
Article XXXVI (repeated? Possibly a typo in the original document): Wage Schedule for Physical Positions November 28, 2004 - November 26, 2005; Page 68  
Article XXXVII (repeated): Wage Schedule for Clerical Positions November 28, 2004 - November 26, 2005; Page 80  
Article XXXVI: Wage Schedule for Physical Positions November 27, 2005 - May 27, 2006; Page 84  
Article XXXVII: Wage Schedule for Clerical Positions November 27, 2005 - May 27, 2006; Page 96  
Article XXXVI: Wage Schedule for Physical Positions May 28, 2006 - May 26, 2007; Page 100  
Article XXXVII: Wage Schedule for Clerical Positions May 28, 2006 - May 26, 2007; Page 112  
Appendix 1: Call-Out Practice For Shift Employees; Page 116  
Appendix 2: Alternate Work Schedules; Page 117  
Appendix 3: Job Sharing Program; Page 121  
Index: Page 125  

Ensure that each entry is accurate, including repeated article numbers (e.g., XXXVI and XXXVII), as they appear in the original document. Then organize the content into a Markdown table, with columns labeled Article, Title, and Page.

Now, construct the table:

| Article       | Title                                                                 | Page |
|---------------|-----------------------------------------------------------------------|------|
| XXVIII        | Transfers, Promotions and Demotions                                   | 33   |
| XXIX          | Temporary Substitutions                                               | 35   |
| XXX           | Hours for Clerical Employees                                          | 37   |
| XXXI          | Hours for Physical Employees                                          | 40   |
| XXXII         | Holidays and Holiday Pay                                              | 48   |
| XXXIII        | Premium Pay                                                           | 49   |
| XXXIV         | Unclassified Jobs                                                     | 51   |
| XXXV          | Special Rates and Trial Periods                                       | 51   |
| XXXVI         | Wage Schedule for Physical Positions May 18, 2003 - November 27, 2004 | 52   |
| XXXVII        | Wage Schedule for Clerical Positions May 18, 2003 - November 27, 2004 | 64   |
| XXXVI         | Wage Schedule for Physical Positions November 28, 2004 - November 26, 2005 | 68   |
| XXXVII        | Wage Schedule for Clerical Positions November 28, 2004 - November 26, 2005 | 80   |
| XXXVI         | Wage Schedule for Physical Positions November 27, 2005 - May 27, 2006 | 84   |
| XXXVII        | Wage Schedule for Clerical Positions November 27, 2005 - May 27, 2006 | 96   |
| XXXVI         | Wage Schedule for Physical Positions May 28, 2006 - May 26, 2007      | 100  |
| XXXVII        | Wage Schedule for Clerical Positions May 28, 2006 - May 26, 2007      | 112  |
| Appendix 1    | Call-Out Practice For Shift Employees                                 | 116  |
| Appendix 2    | Alternate Work Schedules                                              | 117  |
| Appendix 3    | Job Sharing Program                                                   | 121  |
| Index         |                                                                       | 125  |

Check that each row's content matches the original document exactly, including repeated article numbers and titles. Ensure there are no omissions or errors.
</think>

| Article       | Title                                                                 | Page |
|---------------|-----------------------------------------------------------------------|------|
| XXVIII        | Transfers, Promotions and Demotions                                   | 33   |
| XXIX          | Temporary Substitutions                                               | 35   |
| XXX           | Hours for Clerical Employees                                          | 37   |
| XXXI          | Hours for Physical Employees                                          | 40   |
| XXXII         | Holidays and Holiday Pay                                              | 48   |
| XXXIII        | Premium Pay                                                           | 49   |
| XXXIV         | Unclassified Jobs                                                     | 51   |
| XXXV          | Special Rates and Trial Periods                                       | 51   |
| XXXVI         | Wage Schedule for Physical Positions May 18, 2003 - November 27, 2004 | 52   |
| XXXVII        | Wage Schedule for Clerical Positions May 18, 2003 - November 27, 2004 | 64   |
| XXXVI         | Wage Schedule for Physical Positions November 28, 2004 - November 26, 2005 | 68   |
| XXXVII        | Wage Schedule for Clerical Positions November 28, 2004 - November 26, 2005 | 80   |
| XXXVI         | Wage Schedule for Physical Positions November 27, 2005 - May 27, 2006 | 84   |
| XXXVII        | Wage Schedule for Clerical Positions November 27, 2005 - May 27, 2006 | 96   |
| XXXVI         | Wage Schedule for Physical Positions May 28, 2006 - May 26, 2007      | 100  |
| XXXVII        | Wage Schedule for Clerical Positions May 28, 2006 - May 26, 2007      | 112  |
| Appendix 1    | Call-Out Practice For Shift Employees                                 | 116  |
| Appendix 2    | Alternate Work Schedules                                              | 117  |
| Appendix 3    | Job Sharing Program                                                   | 121  |
| Index         |                                                                       | 125  |
