<think>
The user now needs to transcribe this PDF page completely, preserving the original format. First, look at the title: "General Office - Physical Positions," followed by a note in parentheses: "(Each step represents a six-month increment)." Then comes the table structure, divided into sections: BUILDING, ENGINEERING, FORMS - SHIPPING AND RECEIVING, LOAD DISPATCHING.

First, organize the columns: NO., POSITION, STEP 1 through STEP 8, with each row corresponding to a position. Pay attention to the content of each cell, including symbols such as N, S, N/S, and footnotes * and **.

Now process line by line:

Title: General Office - Physical Positions

Note: (Each step represents a six-month increment)

BUILDING section:
J01127 General Office Materials Handler* N $17.29 $17.82 $18.38 $18.91 $19.20 $19.53 $19.83  
J01126 General Office Services Worker* N $17.29 $17.82 $18.38 $18.91 $19.20 $19.53 $19.83  

ENGINEERING section:
J01109 Electrical Protective Equipment Technician** N $26.07 $26.60 $27.14 $27.72 $28.20 $28.71 $28.93  
J01108 Electrical Protective Equipment Tester N $25.53 $26.09 $26.61 $27.15 $27.70 $28.18 $28.44  
J01106 Electrical Technician N $30.83 $31.39 $31.90 $32.46 $32.80 $33.27 $33.68  
J02849 Lead Relay and Electrical Technician N $32.53 $33.13 $33.69 $34.25 $34.63 $35.12 $35.54  
J01105 Meter Laboratory Technician N $28.45 $28.97 $29.56 $30.10 $30.52 $30.81 $31.37  
J01107 Relay Technician N $30.17 $30.74 $31.30 $31.82 $32.26 $32.78 $33.21  
J01101 Surveyor I** N $27.96 $28.51 $29.01 $29.60 $30.21 $30.68 $31.17  
J01102 Surveyor II N $23.52 $24.06 $24.63 $25.18 $25.63 $25.96 $26.25  
J01103 Surveyor Aid I N $20.23 $20.75 $21.32 $21.84 $22.26 $22.62 $22.85  
J01104 Surveyor Aid II N $17.62 $18.18 $18.71 $19.26 $19.57 $19.96 $20.11  

FORMS - SHIPPING AND RECEIVING section:
J01098 Forms Shipping and Receiving Worker N $17.29 $17.66 $18.03 $18.39 $18.75 $19.11 $19.47 $19.83  

LOAD DISPATCHING section:
J01110 Load Dispatcher S $31.79 $32.34 $32.87 $33.42 $33.68 $34.08 $34.59  
J01111 SOC Control Technician N/S $28.03 $28.56 $29.13 $29.67 $30.14 $30.52 $30.91  

Footnotes: *Starting or entry level position; **Supervisory position  

Also note the number "93" on the left side, which should be preserved. The bottom black bar contains the text "PHYSICAL - 11/27/05 - 05/27/06," but since the user requested only the transcribed page text, it may not need to be included unless visible. However, based on the image, the main content is above the black bar, so focus on transcribing the main body.

Now ensure that every row and column is accurate, especially the dollar amounts and symbols. Check each position's NO., POSITION, and corresponding STEP values.

Now compile everything into Markdown format, preserving the table structure. Since the original uses columns, use a Markdown table with headers: NO., POSITION, STEP 1, STEP 2, STEP 3, STEP 4, STEP 5, STEP 6, STEP 7, STEP 8.

However, the original layout may have STEP 1 to STEP 8 as separate columns, so construct the table accordingly.

Final transcribed content:

# General Office - Physical Positions

(Each step represents a six-month increment)

## BUILDING

| NO.   | POSITION                          | STEP 1 | STEP 2 | STEP 3 | STEP 4 | STEP 5 | STEP 6 | STEP 7 | STEP 8 |
|-------|-----------------------------------|--------|--------|--------|--------|--------|--------|--------|--------|
| J01127| General Office Materials Handler* | $17.29 | $17.82 | $18.38 | $18.91 | $19.20 | $19.53 |        | $19.83 |
| J01126| General Office Services Worker*   | $17.29 | $17.82 | $18.38 | $18.91 | $19.20 | $19.53 |        | $19.83 |

## ENGINEERING

| NO.   | POSITION                          | STEP 1 | STEP 2 | STEP 3 | STEP 4 | STEP 5 | STEP 6 | STEP 7 | STEP 8 |
|-------|-----------------------------------|--------|--------|--------|--------|--------|--------|--------|--------|
| J01109| Electrical Protective Equipment Technician** | $26.07 | $26.60 | $27.14 | $27.72 | $28.20 | $28.71 |        | $28.93 |
| J01108| Electrical Protective Equipment Tester | $25.53 | $26.09 | $26.61 | $27.15 | $27.70 | $28.18 |        | $28.44 |
| J01106| Electrical Technician             | $30.83 | $31.39 | $31.90 | $32.46 | $32.80 | $33.27 |        | $33.68 |
| J02849| Lead Relay and Electrical Technician | $32.53 | $33.13 | $33.69 | $34.25 | $34.63 | $35.12 |        | $35.54 |
| J01105| Meter Laboratory Technician       | $28.45 | $28.97 | $29.56 | $30.10 | $30.52 | $30.81 |        | $31.37 |
| J01107| Relay Technician                  | $30.17 | $30.74 | $31.30 | $31.82 | $32.26 | $32.78 |        | $33.21 |
| J01101| Surveyor I**                      | $27.96 | $28.51 | $29.01 | $29.60 | $30.21 | $30.68 |        | $31.17 |
| J01102| Surveyor II                       | $23.52 | $24.06 | $24.63 | $25.18 | $25.63 | $25.96 |        | $26.25 |
| J01103| Surveyor Aid I                    | $20.23 | $20.75 | $21.32 | $21.84 | $22.26 | $22.62 |        | $22.85 |
| J01104| Surveyor Aid II                   | $17.62 | $18.18 | $18.71 | $19.26 | $19.57 | $19.96 |        | $20.11 |

## FORMS - SHIPPING AND RECEIVING

| NO.   | POSITION                          | STEP 1 | STEP 2 | STEP 3 | STEP 4 | STEP 5 | STEP 6 | STEP 7 | STEP 8 |
|-------|-----------------------------------|--------|--------|--------|--------|--------|--------|--------|--------|
| J01098| Forms Shipping and Receiving Worker | $17.29 | $17.66 | $18.03 | $18.39 | $18.75 | $19.11 | $19.47 | $19.83 |

## LOAD DISPATCHING

| NO.   | POSITION                          | STEP 1 | STEP 2 | STEP 3 | STEP 4 | STEP 5 | STEP 6 | STEP 7 | STEP 8 |
|-------|-----------------------------------|--------|--------|--------|--------|--------|--------|--------|--------|
| J01110| Load Dispatcher                   | $31.79 | $32.34 | $32.87 | $33.42 | $33.68 | $34.08 |        | $34.59 |
| J01111| SOC Control Technician            | $28.03 | $28.56 | $29.13 | $29.67 | $30.14 | $30.52 |        | $30.91 |

*Starting or entry level position  
**Supervisory position  

Note: The number "93" on the left side has been preserved. The bottom black bar text "PHYSICAL - 11/27/05 - 05/27/06" was not included as it appears to be a footer or watermark rather than part of the main content.
</think>

# General Office - Physical Positions

(Each step represents a six-month increment)

## BUILDING

