<think>
# COMMONWEALTH OF PENNSYLVANIA  
## 37½ HOUR STANDARD PAY SCHEDULE  
### EFFECTIVE JULY 1, 2005  
#### SCHEDULE S  

| PAY STEP | PAY RANGE 1 | PAY RANGE 2 | PAY RANGE 3 | PAY RANGE 4 | PAY RANGE 5 | PAY RANGE 6 | PAY RANGE 7 | PAY RANGE 8 | PAY RANGE 9 | PAY RANGE 10 |
|----------|-------------|-------------|-------------|-------------|-------------|-------------|-------------|-------------|-------------|--------------|
| Hourly   | 11.48       | 12.93       | 14.61       | 16.51       | 18.82       | 21.47       | 24.52       | 28.00       | 31.91       | 36.45        |
| 11       | 861.00      | 969.75      | 1,095.75    | 1,238.25    | 1,411.50    | 1,610.25    | 1,839.00    | 2,100.00    | 2,393.25    | 2,733.75     |
| Annual*  | 22,455      | 25,291      | 28,577      | 32,294      | 36,812      | 41,995      | 47,961      | 54,768      | 62,416      | 71,296       |
| Hourly   | 11.71       | 13.21       | 14.91       | 16.87       | 19.22       | 21.97       | 25.07       | 28.59       | 32.64       | 37.24        |
| 12       | 878.25      | 990.75      | 1,118.25    | 1,265.25    | 1,441.50    | 1,647.75    | 1,880.25    | 2,144.25    | 2,448.00    | 2,793.00     |
| Annual*  | 22,905      | 25,839      | 29,164      | 32,998      | 37,594      | 42,973      | 49,037      | 55,922      | 63,844      | 72,841       |
| Hourly   | 11.97       | 13.49       | 15.22       | 17.23       | 19.67       | 22.44       | 25.62       | 29.24       | 33.38       | 38.10        |
| 13       | 897.75      | 1,011.75    | 1,141.50    | 1,292.25    | 1,475.25    | 1,683.00    | 1,921.50    | 2,193.00    | 2,503.50    | 2,857.50     |
| Annual*  | 23,413      | 26,386      | 29,770      | 33,702      | 38,475      | 43,893      | 50,113      | 57,193      | 65,291      | 74,524       |
| Hourly   | 12.18       | 13.75       | 15.55       | 17.60       | 20.12       | 22.94       | 26.18       | 29.89       | 34.10       | 38.94        |
| 14       | 913.50      | 1,031.25    | 1,166.25    | 1,320.00    | 1,509.00    | 1,720.50    | 1,963.50    | 2,241.75    | 2,557.50    | 2,920.50     |
| Annual*  | 23,824      | 26,895      | 30,416      | 34,426      | 39,355      | 44,871      | 51,208      | 58,465      | 66,700      | 76,167       |
| Hourly   | 12.44       | 14.04       | 15.85       | 17.97       | 20.54       | 23.46       | 26.78       | 30.56       | 34.87       | 39.81        |
| 15       | 933.00      | 1,053.00    | 1,188.75    | 1,347.75    | 1,540.50    | 1,759.50    | 2,008.50    | 2,292.00    | 2,615.25    | 2,985.75     |
| Annual*  | 24,333      | 27,462      | 31,003      | 35,149      | 40,176      | 45,888      | 52,382      | 59,775      | 68,206      | 77,868       |
| Hourly   | 12.71       | 14.35       | 16.18       | 18.39       | 21.00       | 24.00       | 27.37       | 31.23       | 35.64       | 40.69        |
| 16       | 953.25      | 1,076.25    | 1,213.50    | 1,379.25    | 1,575.00    | 1,800.00    | 2,052.75    | 2,342.25    | 2,673.00    | 3,051.75     |
| Annual*  | 24,861      | 28,069      | 31,648      | 35,971      | 41,076      | 46,944      | 53,536      | 61,086      | 69,712      | 79,590       |
| Hourly   | 12.93       | 14.61       | 16.51       | 18.82       | 21.47       | 24.52       | 28.00       | 31.91       | 36.45       | 41.62        |
| 17       | 969.75      | 1,095.75    | 1,238.25    | 1,411.50    | 1,610.25    | 1,839.00    | 2,100.00    | 2,393.25    | 2,733.75    | 3,121.50     |
| Annual*  | 25,291      | 28,577      | 32,294      | 36,812      | 41,995      | 47,961      | 54,768      | 62,416      | 71,296      | 81,409       |
| Hourly   | 13.21       | 14.91       | 16.87       | 19.22       | 21.97       | 25.07       | 28.59       | 32.64       | 37.24       | 42.54        |
| 18       | 990.75      | 1,118.25    | 1,265.25    | 1,441.50    | 1,647.75    | 1,880.25    | 2,144.25    | 2,448.00    | 2,793.00    | 3,190.50     |
| Annual*  | 25,839      | 29,164      | 32,998      | 37,594      | 42,973      | 49,037      | 55,922      | 63,844      | 72,841      | 83,208       |
| Hourly   | 13.49       | 15.22       | 17.23       | 19.67       | 22.44       | 25.62       | 29.24       | 33.38       | 38.10       | 43.48        |
| 19       | 1,011.75    | 1,141.50    | 1,292.25    | 1,475.25    | 1,683.00    | 1,921.50    | 2,193.00    | 2,503.50    | 2,857.50    | 3,261.00     |
| Annual*  | 26,386      | 29,770      | 33,702      | 38,475      | 43,893      | 50,113      | 57,193      | 65,291      | 74,524      | 85,047       |
| Hourly   | 13.75       | 15.55       | 17.60       | 20.12       | 22.94       | 26.18       | 29.89       | 34.10       | 38.94       | 44.44        |
| 20       | 1,031.25    | 1,166.25    | 1,320.00    | 1,509.00    | 1,720.50    | 1,963.50    | 2,241.75    | 2,557.50    | 2,920.50    | 3,333.00     |
| Annual*  | 26,895      | 30,416      | 34,426      | 39,355      | 44,871      | 51,208      | 58,465      | 66,700      | 76,167      | 86,925       |

\* Approximate annual rate is derived by multiplying the biweekly rate by 26.08 and rounding to the nearest dollar.

Page 2 of 4
</think>

# COMMONWEALTH OF PENNSYLVANIA  
## 37½ HOUR STANDARD PAY SCHEDULE  
### EFFECTIVE JULY 1, 2005  
#### SCHEDULE S  

| PAY STEP | PAY RANGE 1 | PAY RANGE 2 | PAY RANGE 3 | PAY RANGE 4 | PAY RANGE 5 | PAY RANGE 6 | PAY RANGE 7 | PAY RANGE 8 | PAY RANGE 9 | PAY RANGE 10 |
|----------|-------------|-------------|-------------|-------------|-------------|-------------|-------------|-------------|-------------|--------------|
| Hourly   | 11.48       | 12.93       | 14.61       | 16.51       | 18.82       | 21.47       | 24.52       | 28.00       | 31.91       | 36.45        |
| 11       | 861.00      | 969.75      | 1,095.75    | 1,238.25    | 1,411.50    | 1,610.25    | 1,839.00    | 2,100.00    | 2,393.25    | 2,733.75     |
| Annual*  | 22,455      | 25,291      | 28,577      | 32,294      | 36,812      | 41,995      | 47,961      | 54,768      | 62,416      | 71,296       |
| Hourly   | 11.71       | 13.21       | 14.91       | 16.87       | 19.22       | 21.97       | 25.07       | 28.59       | 32.64       | 37.24        |
| 12       | 878.25      | 990.75      | 1,118.25    | 1,265.25    | 1,441.50    | 1,647.75    | 1,880.25    | 2,144.25    | 2,448.00    | 2,793.00     |
| Annual*  | 22,905      | 25,839      | 29,164      | 32,998      | 37,594      | 42,973      | 49,037      | 55,922      | 63,844      | 72,841       |
| Hourly   | 11.97       | 13.49       | 15.22       | 17.23       | 19.67       | 22.44       | 25.62       | 29.24       | 33.38       | 38.10        |
| 13       | 897.75      | 1,011.75    | 1,141.50    | 1,292.25    | 1,475.25    | 1,683.00    | 1,921.50    | 2,193.00    | 2,503.50    | 2,857.50     |
| Annual*  | 23,413      | 26,386      | 29,770      | 33,702      | 38,475      | 43,893      | 50,113      | 57,193      | 65,291      | 74,524       |
| Hourly   | 12.18       | 13.75       | 15.55       | 17.60       | 20.12       | 22.94       | 26.18       | 29.89       | 34.10       | 38.94        |
| 14       | 913.50      | 1,031.25    | 1,166.25    | 1,320.00    | 1,509.00    | 1,720.50    | 1,963.50    | 2,241.75    | 2,557.50    | 2,920.50     |
| Annual*  | 23,824      | 26,895      | 30,416      | 34,426      | 39,355      | 44,871      | 51,208      | 58,465      | 66,700      | 76,167       |
| Hourly   | 12.44       | 14.04       | 15.85       | 17.97       | 20.54       | 23.46       | 26.78       | 30.56       | 34.87       | 39.81        |
| 15       | 933.00      | 1,053.00    | 1,188.75    | 1,347.75    | 1,540.50    | 1,759.50    | 2,008.50    | 2,292.00    | 2,615.25    | 2,985.75     |
| Annual*  | 24,333      | 27,462      | 31,003      | 35,149      | 40,176      | 45,888      | 52,382      | 59,775      | 68,206      | 77,868       |
| Hourly   | 12.71       | 14.35       | 16.18       | 18.39       | 21.00       | 24.00       | 27.37       | 31.23       | 35.64       | 40.69        |
| 16       | 953.25      | 1,076.25    | 1,213.50    | 1,379.25    | 1,575.00    | 1,800.00    | 2,052.75    | 2,342.25    | 2,673.00    | 3,051.75     |
| Annual*  | 24,861      | 28,069      | 31,648      | 35,971      | 41,076      | 46,944      | 53,536      | 61,086      | 69,712      | 79,590       |
| Hourly   | 12.93       | 14.61       | 16.51       | 18.82       | 21.47       | 24.52       | 28.00       | 31.91       | 36.45       | 41.62        |
| 17       | 969.75      | 1,095.75    | 1,238.25    | 1,411.50    | 1,610.25    | 1,839.00    | 2,100.00    | 2,393.25    | 2,733.75    | 3,121.50     |
| Annual*  | 25,291      | 28,577      | 32,294      | 36,812      | 41,995      | 47,961      | 54,768      | 62,416      | 71,296      | 81,409       |
| Hourly   | 13.21       | 14.91       | 16.87       | 19.22       | 21.97       | 25.07       | 28.59       | 32.64       | 37.24       | 42.54        |
| 18       | 990.75      | 1,118.25    | 1,265.25    | 1,441.50    | 1,647.75    | 1,880.25    | 2,144.25    | 2,448.00    | 2,793.00    | 3,190.50     |
| Annual*  | 25,839      | 29,164      | 32,998      | 37,594      | 42,973      | 49,037      | 55,922      | 63,844      | 72,841      | 83,208       |
| Hourly   | 13.49       | 15.22       | 17.23       | 19.67       | 22.44       | 25.62       | 29.24       | 33.38       | 38.10       | 43.48        |
