<think>
# Supporting Services Annual Rates

| Hourly Rate | Annual Rate* |
|-------------|--------------|
| $6.89       | $14,331      |
| 7.12        | 14,809       |
| 7.40        | 15,392       |
| 7.71        | 16,036       |
| 7.99        | 16,619       |
| 8.33        | 17,326       |
| 8.66        | 18,012       |
| 8.87        | 18,449       |
| 9.04        | 18,803       |
| 9.05        | 18,824       |
| 9.24        | 19,219       |
| 9.42        | 19,593       |
| 9.43        | 19,614       |
| 9.59        | 19,947       |
| 9.62        | 20,009       |
| 9.79        | 20,363       |
| 9.98        | 20,758       |
| 9.99        | 20,779       |
| 10.18       | 21,174       |
| 10.20       | 21,216       |
| 10.39       | 21,611       |
| 10.40       | 21,632       |
| 10.61       | 22,068       |
| 10.83       | 22,526       |
| 10.84       | 22,547       |
| 11.06       | 23,004       |
| 11.08       | 23,046       |
| 11.29       | 23,483       |
| 11.53       | 23,982       |
| 11.76       | 24,460       |
| 11.99       | 24,939       |
| 12.02       | 25,001       |
| 12.23       | 25,438       |
| 12.26       | 25,500       |
| 12.51       | 26,020       |
| 12.59       | 26,187       |
| 12.76       | 26,540       |
| 12.85       | 26,728       |
| 13.11       | 27,268       |
| 13.21       | 27,476       |
| 13.38       | 27,830       |

| Hourly Rate | Annual Rate* |
|-------------|--------------|
| $13.49      | $28,059      |
| 13.75       | 28,600       |
| 13.93       | 28,974       |
| 14.03       | 29,182       |
| 14.20       | 29,536       |
| 14.47       | 30,097       |
| 14.57       | 30,305       |
| 14.76       | 30,700       |
| 14.84       | 30,867       |
| 15.14       | 31,491       |
| 15.29       | 31,803       |
| 15.45       | 32,136       |
| 15.60       | 32,448       |
| 15.91       | 33,092       |
| 16.07       | 33,425       |
| 16.23       | 33,758       |
| 16.41       | 34,132       |
| 16.74       | 34,819       |
| 16.85       | 35,048       |
| 17.08       | 35,526       |
| 17.20       | 35,776       |
| 17.53       | 36,462       |
| 17.70       | 36,816       |
| 17.88       | 37,190       |
| 18.08       | 37,606       |
| 18.44       | 38,355       |
| 18.55       | 38,584       |
| 18.81       | 39,124       |
| 18.93       | 39,374       |
| 19.32       | 40,185       |
| 19.51       | 40,580       |
| 19.71       | 40,996       |
| 19.89       | 41,371       |
| 20.29       | 42,203       |
| 20.46       | 42,556       |
| 20.70       | 43,056       |
| 20.90       | 43,472       |
| 21.32       | 44,345       |
| 21.46       | 44,636       |
| 21.75       | 45,240       |
| 21.89       | 45,531       |

| Hourly Rate | Annual Rate* |
|-------------|--------------|
| $22.35      | $46,488      |
| 22.44       | 46,675       |
| 22.80       | 47,424       |
| 22.90       | 47,632       |
| 23.37       | 48,609       |
| 23.51       | 48,900       |
| 23.84       | 49,587       |
| 24.00       | 49,920       |
| 24.48       | 50,918       |
| 24.64       | 51,251       |
| 24.97       | 51,937       |
| 25.12       | 52,249       |
| 25.61       | 53,268       |
| 25.77       | 53,601       |
| 26.13       | 54,350       |
| 26.31       | 54,724       |
| 26.83       | 55,806       |
| 26.98       | 56,118       |
| 27.37       | 56,929       |
| 27.52       | 57,241       |
| 28.06       | 58,364       |
| 28.24       | 58,739       |
| 28.63       | 59,550       |
| 28.83       | 59,966       |
| 29.40       | 61,152       |
| 29.57       | 61,505       |
| 29.99       | 62,379       |
| 30.14       | 62,691       |
| 30.75       | 63,960       |
| 30.99       | 64,459       |
| 31.37       | 65,249       |
| 31.60       | 65,728       |
| 32.23       | 67,038       |
| 32.47       | 67,537       |
| 32.88       | 68,390       |
| 33.13       | 68,910       |
| 33.80       | 70,304       |
| 34.48       | 71,718       |
| 35.46       | 73,756       |

\*Based on 2080 hrs.

12
</think>

# Supporting Services Annual Rates

| Hourly Rate | Annual Rate* |
|-------------|--------------|
| $6.89       | $14,331      |
| 7.12        | 14,809       |
| 7.40        | 15,392       |
| 7.71        | 16,036       |
| 7.99        | 16,619       |
| 8.33        | 17,326       |
| 8.66        | 18,012       |
| 8.87        | 18,449       |
| 9.04        | 18,803       |
| 9.05        | 18,824       |
| 9.24        | 19,219       |
| 9.42        | 19,593       |
| 9.43        | 19,614       |
| 9.59        | 19,947       |
| 9.62        | 20,009       |
| 9.79        | 20,363       |
| 9.98        | 20,758       |
| 9.99        | 20,779       |
| 10.18       | 21,174       |
| 10.20       | 21,216       |
| 10.39       | 21,611       |
| 10.40       | 21,632       |
| 10.61       | 22,068       |
| 10.83       | 22,526       |
| 10.84       | 22,547       |
| 11.06       | 23,004       |
| 11.08       | 23,046       |
| 11.29       | 23,483       |
| 11.53       | 23,982       |
| 11.76       | 24,460       |
| 11.99       | 24,939       |
| 12.02       | 25,001       |
| 12.23       | 25,438       |
| 12.26       | 25,500       |
| 12.51       | 26,020       |
| 12.59       | 26,187       |
| 12.76       | 26,540       |
| 12.85       | 26,728       |
| 13.11       | 27,268       |
| 13.21       | 27,476       |
| 13.38       | 27,830       |

| Hourly Rate | Annual Rate* |
|-------------|--------------|
| $13.49      | $28,059      |
| 13.75       | 28,600       |
| 13.93       | 28,974       |
| 14.03       | 29,182       |
| 14.20       | 29,536       |
| 14.47       | 30,097       |
| 14.57       | 30,305       |
| 14.76       | 30,700       |
| 14.84       | 30,867       |
| 15.14       | 31,491       |
| 15.29       | 31,803       |
| 15.45       | 32,136       |
| 15.60       | 32,448       |
| 15.91       | 33,092       |
| 16.07       | 33,425       |
| 16.23       | 33,758       |
| 16.41       | 34,132       |
| 16.74       | 34,819       |
| 16.85       | 35,048       |
| 17.08       | 35,526       |
| 17.20       | 35,776       |
| 17.53       | 36,462       |
| 17.70       | 36,816       |
| 17.88       | 37,190       |
| 18.08       | 37,606       |
| 18.44       | 38,355       |
| 18.55       | 38,584       |
| 18.81       | 39,124       |
| 18.93       | 39,374       |
| 19.32       | 40,185       |
| 19.51       | 40,580       |
| 19.71       | 40,996       |
| 19.89       | 41,371       |
| 20.29       | 42,203       |
| 20.46       | 42,556       |
| 20.70       | 43,056       |
| 20.90       | 43,472       |
| 21.32       | 44,345       |
| 21.46       | 44,636       |
| 21.75       | 45,240       |
| 21.89       | 45,531       |

| Hourly Rate | Annual Rate* |
|-------------|--------------|
| $22.35      | $46,488      |
| 22.44       | 46,675       |
| 22.80       | 47,424       |
| 22.90       | 47,632       |
| 23.37       | 48,609       |
| 23.51       | 48,900       |
| 23.84       | 49,587       |
| 24.00       | 49,920       |
| 24.48       | 50,918       |
| 24.64       | 51,251       |
| 24.97       | 51,937       |
| 25.12       | 52,249       |
| 25.61       | 53,268       |
| 25.77       | 53,601       |
| 26.13       | 54,350       |
| 26.31       | 54,724       |
| 26.83       | 55,806       |
| 26.98       | 56,118       |
| 27.37       | 56,929       |
| 27.52       | 57,241       |
| 28.06       | 58,364       |
| 28.24       | 58,739       |
| 28.63       | 59,550       |
| 28.83       | 59,966       |
| 29.40       | 61,152       |
