<think>
# Article 41  
## Work Year  

The following shall identify the 9-month and 10-month classifications and the duty days for which the superintendent will seek budgetary approval for each year of this contract. This listing does not imply a minimum guarantee commitment on the part of the Board.  

| Classification                          | Duty Days | Paid Days |
|-----------------------------------------|-----------|-----------|
| Ten-Month School Secretaries            | 198       | 212       |
| Media Assistants                        | 198       | 212       |
| Safety and Security Assistants          | 188       | 202       |
| Instructional and Teacher Assistants    | 188       | 202       |
| English Composition Aides               | 188       | 202       |
| Lunch Hour Aides                        | 185       | 185       |
| Nine-Month Cafeteria Workers            | 173       | 187       |
| Cafeteria Workers I                     | 187       | 201       |
| Food Service Delivery Workers           | 187       | 201       |
| Cafeteria Workers II                    | 188       | 202       |
| Cafeteria Permanent Substitutes         | 188       | 202       |
| Food Service Satellite Workers          | 188       | 202       |
| Cafeteria Managers                      | 190       | 204       |
| Cafeteria Workers III                   | 190       | 204       |
| Quality Control Assistants              | 190       | 204       |
| Bus Operators                           | 187       | 201       |
| Bus Attendants                          | 187       | 201       |
| Special Education Teacher Assistants    | 188       | 202       |
| Special Education Instructional Assistants | 188     | 202       |
| Chapter I Instructional Assistants      | 188       | 202       |
| Interpreters for Hearing Impaired       | 188       | 202       |
| Head Start Instructional Assistants     | 190       | 204       |
| Head Start Social Service Aides         | 190       | 204       |
| Student Behavior Assistants             | 188       | 202       |
| Ten-Month Supply Service Workers I      | 189       | 203       |

Upon final Board action, following County Council approval, the number of duty days and paid days specified in the budget shall not be reduced during FY 1994.

64
</think>

# Article 41  
## Work Year  

The following shall identify the 9-month and 10-month classifications and the duty days for which the superintendent will seek budgetary approval for each year of this contract. This listing does not imply a minimum guarantee commitment on the part of the Board.  


| Classification                          | Duty Days | Paid Days |
|-----------------------------------------|-----------|-----------|
| Ten-Month School Secretaries            | 198       | 212       |
| Media Assistants                        | 198       | 212       |
| Safety and Security Assistants          | 188       | 202       |
| Instructional and Teacher Assistants    | 188       | 202       |
| English Composition Aides               | 188       | 202       |
| Lunch Hour Aides                        | 185       | 185       |
| Nine-Month Cafeteria Workers            | 173       | 187       |
| Cafeteria Workers I                     | 187       | 201       |
| Food Service Delivery Workers           | 187       | 201       |
| Cafeteria Workers II                    | 188       | 202       |
| Cafeteria Permanent Substitutes         | 188       | 202       |
| Food Service Satellite Workers          | 188       | 202       |
| Cafeteria Managers                      | 190       | 204       |
| Cafeteria Workers III                   | 190       | 204       |
| Quality Control Assistants              | 190       | 204       |
| Bus Operators                           | 187       | 201       |
| Bus Attendants                          | 187       | 201       |
| Special Education Teacher Assistants    | 188       | 202       |
| Special Education Instructional Assistants | 188     | 202       |
| Chapter I Instructional Assistants      | 188       | 202       |
| Interpreters for Hearing Impaired       | 188       | 202       |
| Head Start Instructional Assistants     | 190       | 204       |
| Head Start Social Service Aides         | 190       | 204       |
| Student Behavior Assistants             | 188       | 202       |
| Ten-Month Supply Service Workers I      | 189       | 203       |  


Upon final Board action, following County Council approval, the number of duty days and paid days specified in the budget shall not be reduced during FY 1994.  

64
