<table border="1"><tr><td>Section 12.3</td><td>Procedures</td><td>41</td></tr><tr><td>Section 12.4</td><td>Employee Rights</td><td>41</td></tr><tr><td>Section 12.5</td><td>Official Time and Leave</td><td>41</td></tr><tr><td>Section 12.6</td><td>Grievance Procedures</td><td>42</td></tr><tr><td>Section 12.7</td><td>Right to Information</td><td>43</td></tr><tr><td>Section 12.8</td><td>Arbitration</td><td>43</td></tr><tr><td>Section 12.9</td><td>Arbitrator Selection</td><td>43-44</td></tr><tr><td>Section 12.10</td><td>Arbitration Expenses</td><td>44</td></tr><tr><td>Section 12.11</td><td>Arbitration Decision</td><td>44</td></tr><tr><td>Section 12.12</td><td>Time Limits</td><td>44</td></tr><tr><td>Section 12.13</td><td>Withdrawing of Grievances</td><td>44</td></tr><tr><td></td><td></td><td></td></tr><tr><td>ARTICLE 13</td><td>EMPLOYEE CONDUCT</td><td>45</td></tr><tr><td>Section 13.1</td><td>General</td><td>45</td></tr><tr><td>Section 13.2</td><td>Douglas Factors</td><td>45-46</td></tr><tr><td>Section 13.3</td><td>Investigation, Examination and Representation</td><td>46-47</td></tr><tr><td>Section 13.4</td><td>Non-disciplinary and Disciplinary Actions</td><td>47</td></tr><tr><td>Section 13.5</td><td>Adverse Action</td><td>47</td></tr><tr><td></td><td></td><td></td></tr><tr><td>ARTICLE 14</td><td>Furlough and Reduction in Force (RIF)</td><td>48</td></tr><tr><td>Section 14.1</td><td>Furlough</td><td>48</td></tr><tr><td>Section 14.2</td><td>Reduction-In-Force (RIF)</td><td>48</td></tr><tr><td></td><td></td><td></td></tr><tr><td>ARTICLE 15</td><td>MERIT SYSTEM</td><td>49</td></tr><tr><td>Section 15.1</td><td>General Provisions</td><td>49</td></tr><tr><td>Section 15.2</td><td>Priority Placement</td><td>49</td></tr><tr><td>Section 15.3</td><td>Area of Consideration</td><td>49-50</td></tr><tr><td></td><td></td><td></td></tr><tr><td>ARTICLES 16</td><td>ENVIRONMENTAL DIFFERENTIAL AND HAZARDOUS DUTY PAY(EDP&amp;HDP)</td><td>50</td></tr><tr><td>Section 16.1</td><td>Reduction of Hazardous Working Conditions</td><td>50</td></tr><tr><td>Section 16.2</td><td>Environmental Differential Pays(EDP)/Hazardous Duty Pays(HDP)</td><td>50</td></tr><tr><td>Section 16.3</td><td>Hazardous Weather Conditions</td><td>50</td></tr><tr><td></td><td></td><td></td></tr><tr><td>ARTICLE 17</td><td>POSITION DESCRIPTIONS</td><td>51</td></tr><tr><td>Section 17.1</td><td>Employee Awareness of Assigned Duties</td><td>51</td></tr><tr><td>Section 17.2</td><td>Other Duties as Assigned</td><td>51</td></tr><tr><td></td><td></td><td></td></tr><tr><td>ARTICLE 18</td><td>EMPLOYEE DEVELOPMENT AND TRAINING</td><td>52</td></tr><tr><td>Section 18.1</td><td>Job Related Training and Qualifications</td><td>52</td></tr><tr><td>Section 18.2</td><td>Personal Development</td><td>52</td></tr><tr><td></td><td></td><td></td></tr><tr><td>ARTICLE 19</td><td>TEMPORARY DUTY(TDY)AND TRAVEL</td><td>53</td></tr><tr><td>Section 19.1</td><td>General</td><td>53</td></tr></table>

| Section 12.3 | Procedures | 41 |
| :--- | :--- | ---: |
| Section 12.4 | Employee Rights | 41 |
| Section 12.5 | Official Time and Leave | 41 |
| Section 12.6 | Grievance Procedures | 42 |
| Section 12.7 | Right to Information | 43 |
| Section 12.8 | Arbitration | 43 |
| Section 12.9 | Arbitrator Selection | 43-44 |
| Section 12.10 | Arbitration Expenses | 44 |
| Section 12.11 | Arbitration Decision | 44 |
| Section 12.12 | Time Limits | 44 |
| Section 12.13 | Withdrawing of Grievances | 44 |
| ARTICLE 13 | EMPLOYEE CONDUCT | 45 |
| Section 13.1 | General | 45 |
| Section 13.2 | Douglas Factors | 45-46 |
| Section 13.3 | Investigation, Examination and Representation | 46-47 |
| Section 13.4 | Non-disciplinary and Disciplinary Actions | 47 |
| Section 13.5 | Adverse Action | 47 |
| ARTICLE 14 | Furlough and Reduction in Force (RIF) | 48 |
| Section 14.1 | Furlough | 48 |
| Section 14.2 | Reduction-In-Force (RIF) | 48 |
| ARTICLE 15 | MERIT SYSTEM | 49 |
| Section 15.1 | General Provisions | 49 |
| Section 15.2 | Priority Placement | 49 |
| Section 15.3 | Area of Consideration | 49-50 |
| ARTICLES 16 | ENVIRONMENTAL DIFFERENTIAL AND HAZARDOUS DUTY PAY (EDP & HDP) | 50 |
| Section 16.1 | Reduction of Hazardous Working Conditions | 50 |
| Section 16.2 | Environmental Differential Pays (EDP)/ Hazardous Duty Pays (HDP) | 50 |
| Section 16.3 | Hazardous Weather Conditions | 50 |
| ARTICLE 17 | POSITION DESCRIPTIONS | 51 |
| Section 17.1 | Employee Awareness of Assigned Duties | 51 |
| Section 17.2 | Other Duties as Assigned | 51 |
| ARTICLE 18 | EMPLOYEE DEVELOPMENT AND TRAINING | 52 |
| Section 18.1 | Job Related Training and Qualifications | 52 |
| Section 18.2 | Personal Development | 52 |
| ARTICLE 19 | TEMPORARY DUTY (TDY) AND TRAVEL | 53 |
| Section 19.1 | General | 53 |
