## INDEX

Section | Page
---|---
**Article XVIII**
**SENIORITY**
A. Definitions | 49
B. Application of Seniority During Layoff
Within a Designated Organization | 50
C. Recall from Layoff | 52
D. Preferential Reemployment | 52
E. Loss of Seniority | 53
F. Temporary Layoffs | 53
G. Seniority of Union Officers | 54
H. General | 54

**Article XIX**
**UPGRADING AND PROMOTION**
A. Procedure | 56

**Article XX**
**ABSENCE AND LEAVE OF ABSENCE**
A. Definition | 57
B. Failure to Report for Work | 57
C. Medical Leave of Absence | 57
D. Occupational Illness or Injury | 58
E. Medical Restrictions | 58
F. Return from Leave for Illness or Injury | 58
G. Personal Leave of Absence | 59
H. Pregnancy | 59
I. Layoff While on Leave of Absence | 59
J. Termination While on Leave of Absence | 59
K. Failure to Return from Leave of Absence | 59
L. Leave in Conjunction with Vacation | 60
M. Leave in Excess of Thirty (30) Working Days | 60
N. Probationary and Temporary Employees | 60
O. ACTION Volunteers | 60
P. General | 60

**Article XXI**
**SAFETY**
A. Policy | 61

**Article XXII**
**APPRENTICE AGREEMENT**
A. Policy | 61

v
