## 1. The schedule of general increases and base hourly rate ranges

effective **April 22, 2006** will be as follows:

| Labor Grade | General Increase | | Rate Range | |
| :--- | :--- | :--- | :--- | :--- |
| 24 | 3% of base Rate | $ 16.50 | - | $ 27.77 |
| 23 | 3% of base Rate | $ 15.98 | - | $ 27.45 |
| 22 | 3% of base Rate | $ 15.15 | - | $ 24.81 |
| 21 | 3% of base Rate | $ 14.85 | - | $ 24.54 |
| 20 | 3% of base Rate | $ 14.49 | - | $ 23.95 |
| 19 | 3% of base Rate | $ 13.79 | - | $ 22.09 |
| 18 | 3% of base Rate | $ 13.55 | - | $ 22.00 |
| 17 | 3% of base Rate | $ 13.37 | - | $ 21.93 |
| 16 | 3% of base Rate | $ 12.78 | - | $ 20.85 |
| 15 | 3% of base Rate | $ 12.55 | - | $ 20.74 |
| 14 | 3% of base Rate | $ 12.31 | - | $ 20.20 |
| 13 | 3% of base Rate | $ 11.78 | - | $ 18.89 |
| 12 | 3% of base Rate | $ 11.71 | - | $ 18.78 |
| 11 | 3% of base Rate | $ 11.60 | - | $ 18.69 |
| 10 | 3% of base Rate | $ 11.36 | - | $ 18.47 |
| 9 | 3% of base Rate | $ 10.73 | - | $ 17.62 |
| 8 | 3% of base Rate | $ 10.55 | - | $ 17.54 |
| 7 | 3% of base Rate | $ 10.43 | - | $ 17.29 |
| 6 | 3% of base Rate | $ 10.06 | - | $ 16.64 |
| 5 | 3% of base Rate | $ 9.49 | - | $ 15.55 |
| 4 | 3% of base Rate | $ 9.30 | - | $ 15.30 |
| 3 | 3% of base Rate | $ 9.07 | - | $ 15.23 |
| 2 | 3% of base Rate | $ 8.89 | - | $ 14.57 |
| 1 | 3% of base Rate | $ 8.71 | - | $ 14.38 |

-15-
