2. The schedule of general increases and base hourly rate ranges

effective April 21, 2007 will be as follows:

| Labor Grade | General Increase | Rate Range |
| :--- | :--- | :--- |
| 24 | 3% of base Rate | $ 17.00 - $ 28.60 |
| 23 | 3% of base Rate | $ 16.45 - $ 28.27 |
| 22 | 3% of base Rate | $ 15.61 - $ 25.55 |
| 21 | 3% of base Rate | $ 15.30 - $ 25.28 |
| 20 | 3% of base Rate | $ 14.93 - $ 24.68 |
| 19 | 3% of base Rate | $ 14.21 - $ 22.76 |
| 18 | 3% of base Rate | $ 13.96 - $ 22.66 |
| 17 | 3% of base Rate | $ 13.77 - $ 22.59 |
| 16 | 3% of base Rate | $ 13.17 - $ 21.47 |
| 15 | 3% of base Rate | $ 12.92 - $ 21.37 |
| 14 | 3% of base Rate | $ 12.68 - $ 20.80 |
| 13 | 3% of base Rate | $ 12.14 - $ 19.46 |
| 12 | 3% of base Rate | $ 12.06 - $ 19.34 |
| 11 | 3% of base Rate | $ 11.95 - $ 19.26 |
| 10 | 3% of base Rate | $ 11.70 - $ 19.02 |
| 9 | 3% of base Rate | $ 11.05 - $ 18.15 |
| 8 | 3% of base Rate | $ 10.86 - $ 18.07 |
| 7 | 3% of base Rate | $ 10.75 - $ 17.81 |
| 6 | 3% of base Rate | $ 10.36 - $ 17.14 |
| 5 | 3% of base Rate | $ 9.77 - $ 16.02 |
| 4 | 3% of base Rate | $ 9.58 - $ 15.75 |
| 3 | 3% of base Rate | $ 9.35 - $ 15.69 |
| 2 | 3% of base Rate | $ 9.16 - $ 15.01 |
| 1 | 3% of base Rate | $ 8.99 - $ 14.81 |

## Section E. Wage Progression

1. An employee, except as provided in Section H., shall have his or her base hourly wage rate increased ten cents (10¢) per hour within the rate range of his or her Job Classification (except when twelve cents (12¢) or a lesser amount is required to attain the maximum), each sixteen (16) weeks from the Saturday immediately preceding the employee's start date, sixteen (16) weeks from date of last review, or last base rate decrease, whichever is later; provided the Employer determines that the employee's performance, conduct and attendance have been satisfactory. Time spent on Leave of Absence in excess of fifteen (15) working days shall be deducted in computing the sixteen (16) week period.

-16-
