# TABLE OF CONTENTS

| | | Page |
| :--- | :--- | :---: |
| | Preamble | 1 |
| Article 1 | Recognition | 1 |
| Article 2 | Rights of Management | 2 |
| Article 3 | Grievance Procedure and Arbitration | 2 |
| Article 4 | Employee Performance | 5 |
| Article 5 | Vacation Plan | 7 |
| Article 6 | Sick Leave | 9 |
| Article 7 | Holidays | 10 |
| Article 8 | Workforce | 11 |
| Article 9 | Contract Personnel | 22 |
| Article 10 | Joint Meetings | 23 |
| Article 11 | Work Schedules – Pay Rates – Overtime – Temporary Military Leave – Jury Duty And Witness Service | 23 |
| Article 12 | Union Officials | 29 |
| Article 13 | Deduction of Union Dues | 32 |
| Article 14 | Strikes and Lockouts | 33 |
| Article 15 | Voluntary Investment Plan | 33 |
| Article 16 | Group Benefits | 34 |
| Article 17 | Retirement Plan | 37 |
| Article 18 | Non-discrimination | 38 |
| Article 19 | Severability | 38 |
| Article 20 | This agreement has no Article 20 | 38 |
| Article 21 | Layoff Benefits | 38 |
| Article 22 | Job Classifications | 39 |
| Article 23 | Duration | 41 |

## Letters Of Understanding Relating To:

| | | |
| :--- | :--- | :---: |
| Attachment 1 | Cash Payment | 43 |
| Attachment 2 | Child/Elder Care Program | 44 |
| Attachment 3 | Drug and Alcohol Free Work Place Program | 44 |
| Attachment 4 | Work Environment and Health and Safety | 45 |
| Attachment 5 | Relating to Data Reports | 45 |
| Attachment 6 | Printing of Contracts | 46 |
| Attachment 7 | Oversight of Labor-Management Cooperative Initiatives | 46 |
| Attachment 8 | ShareValue Program | 47 |
| Attachment 9 | Virtual Office | 48 |
| Attachment 10 | The Travel Card Process | 49 |
| Attachment 11 | Frequent Flier Mileage | 49 |
| Attachment 12 | SPEEA Access to the Boeing Web | 50 |
| Attachment 13 | Working Together Partnership | 50 |
| Attachment 14 | Review of SJC Rates | 51 |
| Attachment 15 | AOG Assignments | 51 |
| Attachment 16 | Management Rights | 53 |
| Attachment 17 | Sex Crimes | 53 |

| | | |
| :--- | :--- | :---: |
| Appendix A | Organizations/Functions With Confidential Employees And Current Jobs Identified As Confidential | 56 |
| Attachment A | Group Benefits Package | A-1 |
| Attachment B | Retiree Medical Plan | B-1 |
| | Index | 1-1 |

iii
