For orthodontic treatment, the lifetime maximum benefit payable during all periods the eligible person is covered under this Plan is $2,000.

## F. Schedule of Covered Dental Services

| ADA Code | | Maximum Covered Expense |
| :--- | :--- | :--- |
| | **DIAGNOSTIC** | |
| | Examinations (limit one per course of treatment): | |
| D0150 | Comprehensive oral evaluation | $48 |
| D0120 | Periodic oral exam | .26 |
| D0140 | Limited oral evaluation | .37 |
| | **Radiographs (X-rays):** | |
| | Complete mouth X-rays | |
| | (limit once in a five-year period) | |
| D0210 | Intraoral (including bitewings) | .69 |
| D0330 | Panoramic | .53 |
| | Intraoral periapical | |
| D0220 | Single, first film | .14 |
| D0230 | Each additional film | .11 |
| | Bitewings | |
| | (limit once in a 12-month period) | |
| D0270 | Single film | .13 |
| D0272 | Two films | .21 |
| D0274 | Four films | .32 |
| | **PREVENTIVE** | |
| | Prophylaxis (limit once in a four-month period): | |
| D1110 | Age 14 and over | .58 |
| D1120 | To age 14 | .37 |
| | **Fluoride Treatment (limit once in a six-month period):** | |
| D1203/D1204 | Topical application of fluoride | .21 |
| | **Fissure Sealants (to age 16):** | |
| D1351 | Topical application of fissure sealants (per quadrant) | .26 |
| | **MINOR RESTORATIONS** | |
| | **Amalgam Restorations:** | |
| D2140 | Primary or permanent - one surface | .58 |
| D2150 | Primary or permanent - two surfaces | .74 |
| D2160 | Primary or permanent - three surfaces | .95 |
| D2161 | Permanent - four surfaces | 1.16 |
| D2951 | Pin retention - exclusive of amalgam | .16 |
| | **Other Minor Restorations:** | |
| D2330 | Resin - one surface anterior | .69 |
| D2331 | Resin - two surfaces anterior | .90 |
| D2332 | Resin - three surfaces anterior | 1.16 |
| D2335 | Resin - four or more surfaces anterior | 1.27 |
| D2391 | Resin-based composite - one surface (primary or permanent) | .74 |
| D2392 | Resin-based composite - two surfaces (primary or permanent) | 1.00 |
| D2393 | Resin-based composite - three surfaces (primary or permanent) | 1.27 |

A-46
