## TABLE OF CONTENTS

| ARTICLE | SUBJECT | PAGE |
| :--- | :--- | :--- |
| 1 | Recognition | 1 |
| 2 | Definitions | 3 |
| 3 | Responsibility of Management | 5 |
| 4 | Grievance Procedure | 6 |
| 5 | Accredited Service | 8 |
| 6 | Wages, Hours, and Overtime | 11 |
| 7 | Scheduling of Time | 13 |
| 8 | Job Bidding | 17 |
| 9 | Force Adjustment and Recall After Layoff | 19 |
| 10 | Holidays | 25 |
| 11 | Vacations | 27 |
| 12 | Short Term Disability | 30 |
| 13 | Leave or Excused Absence | 32 |
| 14 | Group Health Insurance Benefits | 36 |
| 15 | Furnishing of Tools – Work Gloves | 38 |
| 16 | Concession Telephone Service | 39 |
| 17 | Payroll Deduction of Union Dues or Services Fees | 39 |
| 18 | Conflict with Law | 42 |
| 19 | Union Obligations | 42 |
| 20 | Company Obligations | 43 |
| 21 | Mutual Obligations | 43 |
| 22 | Duration of Agreement | 45 |
| | Exhibit A – Wage Schedule Administration | 46 |
| | Exhibit B – Job Classification | 48 |
| | Wage Progression Schedule | 49-54 |
| | Exhibit C – Dues Deduction Authorization | 55 |

i
