# INDEX TO AGREEMENT

| SUBJECT | ARTICLE | SECTION | PAGE |
| :--- | :--- | :--- | :--- |
| Accident Benefits | 12 | 12.3 | 30 |
| Accredited Service | 5 | | 8 |
| Accredited Service (Definition) | 2 | 2.11 | 4 |
| Adoption Assistance | Memo | | 57 |
| Alcohol & Drug Policy | Memo | | 75 |
| Basic Wage Rate (Definition) | 2 | 2.7 | 4 |
| Bridging Service | 5 | 5.7 | 10 |
| Bumping Rights | 9 | 9.4 | 21 |
| Calendar Year (Definition) | 2 | 2.20 | 5 |
| Called Out Work | 6 | 6.5 | 12 |
| Commercial Driver License (CDL) | Memo | | 59 |
| Company Obligations | 20 | | 43 |
| Compensated Availability | Memo | | 60 |
| Concession Telephone Service | 16 | | 39 |
| Contingent Employment | Memo | | 62 |
| Cope Deduction | Memo | | 64 |
| Customer Engineer-Data Applications | Memo | | 66 |
| Definitions | 2 | | 3 |
| Dental Insurance Benefits | 14 | 14.4 | 37 |
| Departments (Definitions) | 2 | 2.10 | 4 |
| Discharged (Definitions) | 2 | 2.17 | 5 |
| Dispatch Clerk Differential | Memo | | 70 |
| Domestic Partner Benefits | Memo | | 71 |
| Drug & Alcohol Policy | Memo | | 75 |
| Dues Deduction Authorization | Exhibit C | | 55 |
| Duration of Agreement | 22 | | 45 |
| Education and Life-Long Learning | Memo | | 78 |
| Employee (Definition) | 2 | 2.1 | 3 |
| Equipment Installer Assistant | Memo | | 81 |
| Experience Wage Credit | 6 | 6.11 | 13 |
| Family & Medical Leaves of Absence | Memo | | 83 |
| Flex Time | Memo | | 86 |
| Flexible Reimbursement Plan (FRP) | Memo | | 87 |
| Force Adjustment | 9 | | 19 |
| Formal Tour (Definition) | 2 | 2.23 | 5 |
| Full-Time Employee (Definition) | 2 | 2.5 | 4 |
| Funeral (Excused Absence) | 13 | 13.3 | 33 |
| Grandfathering of Minerva Employees | LOI | | 88 |
| Grievance (Definition) | 2 | 2.13 | 4 |

iv
