## SUBJECT

| SUBJECT | ARTICLE | SECTION | PAGE |
| :--- | :--- | :--- | :--- |
| Overtime Work | 6 | | 11 |
| Part-Time Employee (Definition) | 2 | 2.6 | 4 |
| Payment of Arbitrator | Memo | | 124 |
| Pensions | Memo | | 125 |
| Pension Plan Survivor Benefits | Memo | | 127 |
| Per Diem | 7 | 7.12 | 15 |
| Performance Differential | Memo | | 129 |
| Personal Days | 10 | 10.1.1 | 26 |
| Personal Lines of Insurance | Memo | | 131 |
| Point of Service Medical Plan (POS) | Memo | | 133 |
| Posted Work Schedules | 7 | | 13 |
| Premium Pay (Definition) | 2 | 2.9 | 4 |
| Prescription Identification Card (PIC) | Memo | | 139 |
| Probationary Employee (Definition) | 2 | 2.3.1 | 3 |
| Public Communications Incentive Compensation Plan | Memo | | 142 |
| Recall from Lay-off | 9 | 9.5 | 23 |
| Recognition | 1 | | 1 |
| Regular Employee (Definition) | 2 | 2.2 | 3 |
| Released (Definition) | 2 | 2.18 | 5 |
| Relief Periods | 7 | 7.6 | 14 |
| Resigned (Definition) | 2 | 2.14 | 4 |
| Responsibility of Management | 3 | | 5 |
| Retail Sales Consultant Compensation Plan | Memo | | 147 |
| Retiree Life Insurance | Memo | | 149 |
| Revised Titles/Force Adjustment | Memo | | 150 |
| Scheduling of Time | 7 | | 13 |
| Seniority (Definition) | 2 | 2.12 | 4 |
| Service Day (Definition) | 2 | 2.22 | 5 |
| Service Week (Definition) | 2 | 2.21 | 5 |
| Short Term Disability | 12 | | 30 |
| Summary-Point of Service Medical Plan | | | 135 |
| Suspension (Definition) | 2 | 2.16 | 5 |
| Team Performance Award (TPA) | Memo | | 151 |
| Temporary Employee (Definition) | 2 | 2.3.2 | 3 |
| Temporary Work Out of Class | 6 | 6.9 | 13 |
| Ten-Hour, Four-Day Week | Memo | | 156 |
| Tools | 15 | | 38 |
| Union Dues & Service Fees | 17 | | 39 |
| Union Dues/Service Fee Adjustment | Memo | | 141 |
| Union Obligations | 19 | | 42 |
| Union Security | 17 | 17.5 | 40 |

vi
