# EXHIBIT B

Attached hereto and made a part hereof are wage progression schedules identified below:

| Schedule | N-K | Retail Sales Consultant |
|---|---|---|
| Schedule | N-1 | Custodian |
| Schedule | N-1GFD | Custodian-Grandfathered |
| Schedule | N-1A | Customer Services Clerk, General Laborer, Reports and Records Clerk |
| Schedule | N-5 | Data Review Clerk, Dispatch Clerk, Groundworker, Order Clerk, Statistical Clerk, Steno-Clerk, Service Representative, Traffic Records Clerk, Clerk-Typist |
| Schedule | N-6 | Facility Provisioning Specialist, Line and Cable Assigner, Mechanic's Helper, Switch Provisioning Specialist |
| Schedule | N-8 | Collector Maintainer, Customer Inquiry Advocate, Customer Zone Technician III, Equipment Installer Assistant, General Utility Worker, Network Assistant, Public Access Sales Technician, Storeroom Attendant |
| Schedule | N-9 | Lineworker, Storekeeper, Test Desk Operator, Truck Driver-Heavy |
| Schedule | N-10 | Equipment Operator, Fleet Mechanic |
| Schedule | N-11 | Construction Cable Splicer, Customer Zone Technician II, Facilities Locator-Assigner, Senior Lineworker |
| Schedule | N-12 | Building Technician, Business Zone Technician, Customer Zone Technician I, Division COE Installer-Repairer, Vehicle Maintenance Technician |
| Schedule | N-13 | Customer Engineer-Data Applications |

48
