## Wages for Wage Schedule: N8

**Job Classification:**
Collector Maintainer, Customer Inquiry Advocate, Customer Zone Technician III, Equipment Installer Assistant, General Utility Worker, Network Assistant, Public Access Sales Technician, Storeroom Attendant

| Schedule Interval | Effective 10/27/2002 | Effective 10/26/2003 | Effective 10/24/2004 |
|---|---|---|---|
| Start | $ 9.34 | $ 9.71 | $10.10 |
| 6 | $ 9.81 | $10.20 | $10.61 |
| 12 | $10.56 | $10.98 | $11.42 |
| 18 | $11.68 | $12.15 | $12.63 |
| 24 | $12.69 | $13.20 | $13.73 |
| 30 | $13.67 | $14.21 | $14.78 |
| 36 | $14.68 | $15.27 | $15.88 |
| 42 | $15.69 | $16.32 | $16.97 |
| 48 | $16.79 | $17.46 | $18.16 |
| 54 | $17.56 | $18.26 | $18.99 |
| 60 | $18.02 | $18.74 | $19.49 |

## Wages for Wage Schedule: N9

**Job Classification:**
Lineworker, Storekeeper, Test Desk Operator, Truck Driver-Heavy

| Schedule Interval | Effective 10/27/2002 | Effective 10/26/2003 | Effective 10/24/2004 |
|---|---|---|---|
| Start | $ 9.73 | $10.12 | $10.53 |
| 6 | $10.45 | $10.87 | $11.30 |
| 12 | $11.24 | $11.69 | $12.16 |
| 18 | $12.05 | $12.54 | $13.04 |
| 24 | $13.00 | $13.52 | $14.06 |
| 30 | $14.04 | $14.60 | $15.19 |
| 36 | $15.14 | $15.75 | $16.38 |
| 42 | $16.35 | $17.00 | $17.68 |
| 48 | $17.65 | $18.35 | $19.09 |
| 54 | $19.06 | $19.83 | $20.62 |
| 60 | $20.59 | $21.42 | $22.27 |

52
