## Wages for Wage Schedule: N12

**Job Classification:**
Building Technician, Business Zone Technician, Customer Zone Technician I, Division COE Installer-Repairer, Vehicle Maintenance Technician

| Schedule Interval | Effective 10/27/2002 | Effective 10/26/2003 | Effective 10/24/2004 |
| :--- | :--- | :--- | :--- |
| Start | $11.56 | $12.03 | $12.51 |
| 6 | $12.22 | $12.71 | $13.22 |
| 12 | $13.40 | $13.93 | $14.49 |
| 18 | $14.65 | $15.24 | $15.85 |
| 24 | $15.91 | $16.55 | $17.21 |
| 30 | $17.30 | $17.99 | $18.71 |
| 36 | $18.55 | $19.30 | $20.07 |
| 42 | $19.90 | $20.69 | $21.52 |
| 48 | $21.21 | $22.05 | $22.94 |
| 54 | $22.36 | $23.25 | $24.18 |
| 60 | $23.15 | $24.08 | $25.04 |

## Wages for Wage Schedule: N13

**Job Classification:**
Customer Engineer-Data Applications

| Schedule Interval | Effective 10/27/2002 | Effective 10/26/2003 | Effective 10/24/2004 |
| :--- | :--- | :--- | :--- |
| Start | $14.52 | $15.10 | $15.70 |
| 6 | $15.74 | $16.36 | $17.02 |
| 12 | $17.05 | $17.73 | $18.44 |
| 18 | $18.51 | $19.25 | $20.02 |
| 24 | $21.11 | $21.96 | $22.83 |
| 30 | $21.91 | $22.79 | $23.70 |
| 36 | $23.87 | $24.82 | $25.82 |
| 42 | $26.02 | $27.06 | $28.14 |
| 48 | $28.39 | $29.53 | $30.71 |

54
