## APPENDIX D
WAGE RATES EFFECTIVE OCTOBER 8, 2000
STRUCTURE A/B1

| Job Title | START | 1 YEAR | 2 YEARS | 3 YEARS | 4 YEARS | 5 YEARS | 6 YEARS |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| ALLERGY LAB CENTL - ASST SUPV | 16.9201 | 17.3538 | 17.7988 | 18.2037 | 18.8174 | 19.3899 | |
| ALLERGY TECHNICIAN | 15.8507 | 16.2572 | 16.6739 | 16.9953 | 17.4553 | 17.9024 | |
| ALLERGY TECHNICIAN - TRAINEE | 15.0373 | 15.4228 | 15.8183 | 16.1111 | 16.5158 | 16.8928 | |
| ALLERGY TECHNICIAN SR | 16.4937 | 16.9166 | 17.3503 | 17.7276 | 18.2435 | 18.7460 | |
| ANESTHESIA SUPPLY AIDE | 14.3883 | 14.7570 | 15.1355 | 15.4829 | 15.8432 | 16.1647 | |
| ANESTHESIA SUPPLY AIDE SR | 14.6356 | 15.0109 | 15.3960 | 15.6792 | 16.0906 | 16.5023 | |
| ANESTHESIA TECH ASST SR | 17.0149 | 17.4513 | 17.8984 | 18.3419 | 18.8284 | 19.2716 | |
| ANESTHESIA TECH ASST | 16.6000 | 17.0257 | 17.4621 | 17.8948 | 18.3692 | 18.8015 | |
| ATHLETIC TRAINER - CERTIFIED | 18.8899 | 19.3743 | 19.8587 | 20.2559 | 20.6610 | 21.0742 | |
| BONE DENSITOMETRY TECH | 16.6895 | 17.1173 | 17.5560 | 18.0644 | 18.7962 | 19.3363 | |
| CARDIOVAS ANESTHESIA TECH | 20.4731 | 20.9981 | 21.5366 | 22.2796 | 23.3936 | 24.5071 | |
| CARDIOVASCULAR TECH | 20.8374 | 21.3719 | 21.9200 | 22.7319 | 23.9492 | 25.1673 | |
| CARDIOVAS TECHNICIAN SR | 22.3809 | 22.9548 | 23.5434 | 24.3552 | 25.5728 | 26.7906 | |
| CARE PARTNER | 14.5260 | 14.8982 | 15.2803 | 15.6311 | 15.9949 | 16.3194 | |
| CENTRAL SUPPLY TECHNICIAN | 14.3883 | 14.7570 | 15.1355 | 15.4829 | 15.8432 | 16.1647 | |
| CLERICAL GRADE 1 | 13.3469 | 13.6892 | 14.0401 | 14.2588 | 14.5550 | 14.8504 | |
| CLERICAL GRADE 2 | 13.9081 | 14.2649 | 14.6306 | 14.8754 | 15.2227 | 15.5702 | |
| CLERICAL GRADE 3 | 14.2010 | 14.5653 | 14.9388 | 15.2473 | 15.5827 | 15.9620 | |
| CLERICAL GRADE 4 | 14.4942 | 14.8658 | 15.2473 | 15.5307 | 15.9421 | 16.3536 | |
| CLERICAL GRADE 5 | 15.0778 | 15.4644 | 15.8611 | 16.1953 | 16.6587 | 17.1212 | |
| CLERICAL GRADE 6 | 15.7617 | 16.1659 | 16.5802 | 16.9660 | 17.4935 | 18.0208 | |
| CLERICAL GRADE 7 | 16.4388 | 16.8604 | 17.2926 | 17.7170 | 18.3347 | 18.9521 | |
| COMMUNICATION OPERATOR | 14.1743 | 14.5379 | 14.9106 | 15.1601 | 15.5141 | 15.7367 | 16.2741 |
| COMMUNICATION OPERATOR SR | 14.4728 | 14.8441 | 15.2247 | 15.5391 | 15.8810 | 16.1034 | 16.6666 |
| COOK A | 15.5325 | 15.9309 | 16.3394 | 16.7399 | 17.1405 | | |
| COOK IN CHARGE (SR) | 16.1999 | 16.6156 | 17.0417 | 17.4423 | 17.8427 | | |
| CT SCHEDULING ASSISTANT | 14.4942 | 14.8658 | 15.2473 | 15.5307 | 15.9421 | 16.3536 | |
| CUSTODIAN/WATCHMAN | 14.9910 | 15.3755 | 15.7699 | 16.1556 | 16.5416 | | |
| CYTOGENETIC TECH I | 26.0405 | 26.7255 | 27.4111 | 27.7738 | 28.7505 | 29.7071 | |
| CYTOGENETIC TECH II | 26.9016 | 27.6095 | 28.3175 | 28.8618 | 29.8181 | 30.8756 | |
| CYTOGENETIC TECH III | 27.8202 | 28.5524 | 29.2846 | 29.9285 | 31.0264 | 32.1042 | 33.2396 |
| CYTOGENETIC TECH SR | 29.3429 | 30.1150 | 30.8869 | 31.5309 | 32.4874 | 33.4641 | 34.6439 |
| CYTOGENETIC TRAINEE | 21.4708 | 22.3747 | | | | | |

104
