## WAGE RATES EFFECTIVE OCTOBER 8, 2000
## STRUCTURE AB1

| Job Title | START | 1 YEAR | 2 YEARS | 3 YEARS | 4 YEARS | 5 YEARS | 6 YEARS |
|---|---|---|---|---|---|---|---|
| RESPIRATORY CARE PERMITTEE | 20.0608 | | | | | | |
| RESPIRATORY SUPPLY AIDE | 14.3883 | 14.7570 | 15.1355 | 15.4829 | 15.8432 | 16.1647 | |
| RESPIRATORY SUPPLY AIDE SR | 14.6356 | 15.0109 | 15.3960 | 15.6792 | 16.0906 | 16.5023 | |
| SERVICE PARTNER | 14.0019 | 14.3609 | 14.7289 | 15.1149 | 15.5008 | | |
| STERILE PROC TECH II - CERT | 15.5625 | 15.9612 | 16.3704 | 16.7465 | 17.1360 | 17.4839 | |
| STERILE PROC TECH SR - CERT | 16.1848 | 16.5998 | 17.0251 | 17.4164 | 17.8214 | 18.1834 | |
| STERILE PROCESSING TECH I | 14.9639 | 15.3474 | 15.7408 | 16.1024 | 16.4769 | 16.8113 | |
| STOCK ROOM ASST REG LAB SR | 15.8463 | 16.2631 | 16.6801 | 16.9038 | 17.1276 | 17.5346 | |
| STOCK RM ASST REG LAB ONLY | 14.3968 | 14.7757 | 15.1545 | 15.3578 | 15.5614 | 15.9475 | |
| STOREKEEPER | 14.1608 | 14.5238 | 14.8963 | 15.2815 | 15.6679 | | |
| STOREKEEPER - CHIEF | 15.8671 | 16.2740 | 16.6912 | 17.1431 | 17.5366 | | |
| STOREKEEPER I | 14.4280 | 14.7979 | 15.1775 | 15.5701 | 15.9634 | | |
| STOREKEEPER II | 14.6597 | 15.0357 | 15.4211 | 15.8117 | 16.3503 | | |
| SURGICAL ASSISTANT - CERT | 19.5007 | 20.0008 | 20.5137 | 21.0449 | 21.6766 | 22.4076 | |
| SURGICAL ASST - TRAINEE | 18.4477 | | | | | | |
| SURGICAL ASST SR | 19.4182 | 19.9293 | 20.4402 | 20.9586 | 21.5750 | 22.2878 | |
| SURGICAL ASST. | 19.0252 | 19.5129 | 20.0132 | 20.5317 | 21.1480 | 21.8612 | |
| SURGICAL TECHNICIAN | 17.7361 | 18.1907 | 18.6572 | 19.1194 | 19.6264 | 20.0885 | |
| SURGICAL TECHNICIAN SR | 18.1612 | 18.6269 | 19.1045 | 19.5673 | 20.0737 | 20.5359 | |
| SURPLUS MATERLS ASST/OPER | 18.1543 | 18.6197 | 19.0972 | 19.5430 | 19.9892 | 20.4767 | |
| TRUCK DRIVER | 20.9805 | 21.5181 | 22.0699 | 22.5158 | 22.9621 | 23.4495 | |
| UNIT ASSISTANT | 14.9377 | 15.3207 | 15.7137 | 16.0413 | 16.3883 | 16.7934 | |
| UNIT ASSISTANT SR | 15.2471 | 15.6481 | 16.0496 | 16.3482 | 16.7810 | 17.2145 | |
| VISION SERVICES ASST I | 14.6441 | 15.0198 | 15.4048 | 15.7574 | 16.1099 | 16.3967 | |
| VISION SERVICES ASST II | 15.1588 | 15.5476 | 15.9462 | 16.3112 | 16.6760 | 16.9730 | |
| WAREHOUSE LEADPERSON | 18.5780 | 19.0546 | 19.5433 | 20.2865 | 20.7318 | 21.2198 | |
| WAREHOUSE PERSON | 18.1544 | 18.6197 | 19.0972 | 19.5430 | 19.9891 | 20.4767 | |
| YARDKEEPER | 14.0142 | 14.3731 | 14.7416 | 15.1277 | 15.5134 | | |

108
