WAGE RATES EFFECTIVE OCTOBER 7, 2001
STRUCTURE A/B1

| Job Title | START | 1 YEAR | 2 YEARS | 3 YEARS | 4 YEARS | 5 YEARS | 6 YEARS |
|---|---|---|---|---|---|---|---|
| RESP CARE PRACTR - SUPV | 26.9225 | 27.6307 | 28.3396 | 28.9920 | 30.0372 | 31.3433 | 32.6489 |
| RESP CARE PRACTITIONER I | 23.1814 | 23.7916 | 24.4015 | 24.8753 | 25.4679 | 26.0601 | |
| RESP CARE PRACTITIONER II | 24.4196 | 25.0621 | 25.7047 | 26.2965 | 27.2447 | 28.4290 | 29.6137 |
| RESPIRATORY CARE PERMITTEE | 20.8632 | | | | | | |
| RESPIRATORY SUPPLY AIDE | 14.9638 | 15.3473 | 15.7409 | 16.1022 | 16.4769 | 16.8113 | |
| RESPIRATORY SUPPLY AIDE SR | 15.2210 | 15.6113 | 16.0118 | 16.3064 | 16.7342 | 17.1624 | |
| SERVICE PARTNER | 14.5620 | 14.9353 | 15.3181 | 15.7195 | 16.1208 | | |
| STERILE PROC TECH - SR - CERT | 16.8322 | 17.2638 | 17.7061 | 18.1131 | 18.5343 | 18.9107 | |
| STERILE PROC TECH II - CERT | 16.1850 | 16.5996 | 17.0252 | 17.4164 | 17.8214 | 18.1833 | |
| STERILE PROCESSING TECH I | 15.5625 | 15.9613 | 16.3704 | 16.7465 | 17.1360 | 17.4838 | |
| STOCK ROOM ASST REG LAB SR | 16.4802 | 16.9136 | 17.3473 | 17.5800 | 17.8127 | 18.2360 | |
| STOCK RM ASST REG. LAB ONLY | 14.9727 | 15.3667 | 15.7607 | 15.9721 | 16.1839 | 16.5854 | |
| STOREKEEPER | 14.7272 | 15.1048 | 15.4922 | 15.8928 | 16.2946 | | |
| STOREKEEPER - CHIEF | 16.5018 | 16.9250 | 17.3588 | 17.8288 | 18.2381 | | |
| STOREKEEPER I | 15.0051 | 15.3898 | 15.7846 | 16.1929 | 16.6019 | | |
| STOREKEEPER II | 15.2461 | 15.6371 | 16.0379 | 16.4442 | 17.0043 | | |
| SURGICAL ASSIST - CERTIFIED | 20.2807 | 20.8008 | 21.3342 | 21.8867 | 22.5437 | 23.3039 | |
| SURGICAL ASST - TRAINEE | 19.1856 | | | | | | |
| SURGICAL ASST SR | 20.1949 | 20.7265 | 21.2578 | 21.7969 | 22.4380 | 23.1793 | |
| SURGICAL ASST. | 19.7862 | 20.2934 | 20.8137 | 21.3530 | 21.9939 | 22.7356 | |
| SURGICAL TECHNICIAN | 18.4455 | 18.9183 | 19.4035 | 19.8842 | 20.4115 | 20.8920 | |
| SURGICAL TECHNICIAN SR | 18.8876 | 19.3720 | 19.8687 | 20.3500 | 20.8766 | 21.3573 | |
| SURPLUS MATRLS ASST/OPER | 18.8805 | 19.3645 | 19.8611 | 20.3247 | 20.7888 | 21.2958 | |
| TRUCK DRIVER | 21.8197 | 22.3788 | 22.9527 | 23.4164 | 23.8806 | 24.3875 | |
| UNIT ASSISTANT | 15.5352 | 15.9335 | 16.3422 | 16.6830 | 17.0438 | 17.4651 | |
| UNIT ASSISTANT SR | 15.8570 | 16.2740 | 16.6916 | 17.0021 | 17.4522 | 17.9031 | |
| VISION SERVICES ASST I | 15.2299 | 15.6206 | 16.0210 | 16.3877 | 16.7543 | 17.0526 | |
| VISION SERVICES ASST II | 15.7652 | 16.1695 | 16.5840 | 16.9636 | 17.3430 | 17.6519 | |
| WAREHOUSE LEADPERSON | 19.3211 | 19.8168 | 20.3250 | 21.0980 | 21.5611 | 22.0686 | |
| WAREHOUSE PERSON | 18.8806 | 19.3645 | 19.8611 | 20.3247 | 20.7887 | 21.2958 | |
| YARDKEEPER | 14.5748 | 14.9480 | 15.3313 | 15.7328 | 16.1339 | | |

113
