**WAGE RATES EFFECTIVE OCTOBER 6, 2002**
**STRUCTURE A/B1**

| Job Title | START | 1 YEAR | 2 YEARS | 3 YEARS | 4 YEARS | 5 YEARS | 6 YEARS |
|---|---|---|---|---|---|---|---|
| CYTO-HISTO TECHNOL – SUPV | 34.6966 | 35.6095 | 36.5220 | 38.0543 | 39.3096 | 40.0462 | |
| CYTOLOGY TECHNOL - CHIEF | 33.5594 | 34.4426 | 35.3254 | 36.0620 | 37.1559 | 38.2729 | |
| CYTOTECHNOLOGIST I | 29.7825 | 30.5659 | 31.3501 | 31.7649 | 32.8819 | 33.9760 | |
| CYTOTECHNOLOGIST II | 30.7674 | 31.5771 | 32.3867 | 33.0093 | 34.1031 | 35.3124 | |
| CYTOTECHNOLOGIST III | 31.8180 | 32.6555 | 33.4928 | 34.2293 | 35.4849 | 36.7176 | |
| DARK ROOM TECHNICIAN | 15.7931 | 16.1981 | 16.6135 | 16.9337 | 17.5181 | 17.9354 | |
| DEPARTMENT SECRETARY | 16.8602 | 17.2925 | 17.7360 | 18.0657 | 18.5441 | 19.0232 | |
| DIAG ULTRASONOGRAPHER I | 28.5478 | 29.2988 | 30.0500 | 30.5242 | 31.1985 | 32.2723 | |
| DIAG ULTRASONOGRAPHER II | 30.5465 | 31.3502 | 32.1541 | 33.0696 | 34.6287 | 36.1883 | 37.7472 |
| DIAG ULTRASONOGRAPHER III | 32.0737 | 32.9176 | 33.7617 | 34.7231 | 36.3601 | 38.1033 | 39.6347 |
| DIAG ULTRASONGRAPHER SUPV | 34.5426 | 35.4511 | 36.3602 | 37.9982 | 39.6349 | 41.3860 | 42.9090 |
| DIAG ULTRASONGRPHR TRAINEE | 25.0750 | | | | | | |
| DRIVER FOREMAN | 23.9148 | 24.5283 | 25.1570 | 25.6394 | 26.1204 | 26.6476 | |
| EEG TECHNOLOGIST I | 18.8993 | 19.3840 | 19.8811 | 20.4184 | 21.3859 | 22.2457 | |
| EEG TECHNOLOGIST II | 20.0233 | 20.5368 | 21.0633 | 21.6004 | 22.6751 | 23.7496 | |
| EKG TECHNICIAN | 18.0514 | 18.5141 | 18.9885 | 19.5385 | 20.3299 | 20.9142 | |
| EKG TECHNICIAN SR | 18.8349 | 19.3174 | 19.8128 | 20.4107 | 21.3736 | 22.1179 | |
| EMERGENCY DEPT TECH I | 15.8391 | 16.2454 | 16.6618 | 17.0432 | 17.4245 | 17.7347 | |
| EMERGENCY DEPT TECH II | 18.7351 | 19.2154 | 19.7080 | 20.1964 | 20.7319 | 21.2201 | |
| EMERGENCY RM ASST SF ONLY | 15.6049 | 16.0155 | 16.4261 | 16.8020 | 17.1779 | 17.4840 | |
| GARAGE ATTENDANT | 15.0430 | 15.4289 | 15.8244 | 16.0892 | 16.4649 | 16.8407 | |
| GARAGE/PARKING ATTENDANT | 15.0430 | 15.4289 | 15.8244 | 16.0892 | 16.4649 | 16.8407 | |
| GARDENER | 16.6419 | 17.0687 | 17.5060 | 17.9312 | 18.3566 | 0.0000 | |
| GARDENER SR | 17.9391 | 18.3990 | 18.8709 | 19.2999 | 19.7255 | 0.0000 | |
| HISTOLOGIC TECH I | 23.3938 | 24.0093 | 24.6249 | 25.1279 | 25.5247 | 25.8598 | |
| HISTOLOGIC TECH II | 25.3141 | 25.9804 | 26.6464 | 27.3374 | 27.7972 | 28.1116 | |
| HISTOLOGIC TECH TRAINEE | 19.5799 | 20.0946 | 20.6100 | 20.9544 | 21.4438 | 21.9331 | |
| HISTOLOGIC TECHNICIAN - SUPV | 28.0098 | 28.7470 | 29.4842 | 30.2175 | 30.8036 | 31.2436 | |
| HOME HEALTH AIDE | 15.7901 | 16.1951 | 16.6105 | 16.9860 | 17.3758 | 17.7237 | |
| HOMEMAKER | 8.3956 | | | | | | |
| HOUSEKEEPING AIDE | 15.1445 | 15.5327 | 15.9308 | 16.3483 | 16.7656 | | |
| HOUSEKEEPING HEAD AIDE | 15.5408 | 15.9390 | 16.3483 | 16.7656 | 17.1830 | | |
| LABORATORY ASSISTANT I | 15.7601 | 16.1641 | 16.5790 | 16.8563 | 17.2496 | 17.6434 | |
| LABORATORY ASSISTANT II | 16.4241 | 16.8454 | 17.2774 | 17.5989 | 18.0647 | 18.5312 | |
| LABORATORY ASSISTANT III | 16.7015 | 17.1297 | 17.5688 | 17.8904 | 18.3563 | 18.8231 | |
| LABORATORY ASSISTANT SR | 17.0854 | 17.5236 | 17.9732 | 18.3517 | 18.8769 | 19.4011 | |

115
