## WAGE RATES EFFECTIVE OCTOBER 6, 2002
## STRUCTURE A/B1

| Job Title | START | 1 YEAR | 2 YEARS | 3 YEARS | 4 YEARS | 5 YEARS | 6 YEARS |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| RESP CARE PRACT – SUPV | 27.9994 | 28.7359 | 29.4732 | 30.1517 | 31.2387 | 32.5970 | 33.9549 |
| RESP CARE PRACTITIONER I | 24.1087 | 24.7433 | 25.3776 | 25.8703 | 26.4866 | 27.1025 | |
| RESP CARE PRACTITIONER II | 25.3964 | 26.0646 | 26.7329 | 27.3484 | 28.3345 | 29.5662 | 30.7982 |
| RESPIRATORY CARE PERMITTEE | 21.6977 | | | | | | |
| RESPIRATORY SUPPLY AIDE | 15.5624 | 15.9612 | 16.3705 | 16.7463 | 17.1360 | 17.4838 | |
| RESPIRATORY SUPPLY AIDE SR | 15.8298 | 16.2358 | 16.6523 | 16.9587 | 17.4036 | 17.8489 | |
| SERVICE PARTNER | 15.1445 | 15.5327 | 15.9308 | 16.3483 | 16.7656 | | |
| STERILE PROC TECH CERT SR | 17.5055 | 17.9544 | 18.4143 | 18.8376 | 19.2757 | 19.6671 | |
| STERILE PROC TECH II – CERT | 16.8324 | 17.2636 | 17.7062 | 18.1131 | 18.5343 | 18.9106 | |
| STERILE PROCESSING TECH I | 16.1850 | 16.5998 | 17.0252 | 17.4164 | 17.8214 | 18.1832 | |
| STOCK ROOM ASST REG LAB SR | 17.1394 | 17.5901 | 18.0412 | 18.2832 | 18.5252 | 18.9654 | |
| STOCK RM ASST REG LAB ONLY | 15.5716 | 15.9814 | 16.3911 | 16.6110 | 16.8313 | 17.2488 | |
| STOREKEEPER | 15.3163 | 15.7090 | 16.1119 | 16.5285 | 16.9464 | 0.0000 | |
| STOREKEEPER – CHIEF | 17.1619 | 17.6020 | 18.0532 | 18.5420 | 18.9676 | | |
| STOREKEEPER I | 15.6053 | 16.0054 | 16.4160 | 16.8406 | 17.2660 | | |
| STOREKEEPER II | 15.8559 | 16.2626 | 16.6794 | 17.1020 | 17.6845 | | |
| SURGICAL ASSISTANT CERT | 21.0919 | 21.6328 | 22.1876 | 22.7622 | 23.4454 | 24.2361 | |
| SURGICAL ASST SR | 21.0027 | 21.5556 | 22.1081 | 22.6688 | 23.3355 | 24.1065 | |
| SURGICAL ASST TRAINEE | 19.9530 | 19.9530 | | | | | |
| SURGICAL ASST. | 20.5776 | 21.1051 | 21.6462 | 22.2071 | 22.8737 | 23.6450 | |
| SURGICAL TECHNICIAN | 19.1833 | 19.6750 | 20.1796 | 20.6796 | 21.2280 | 21.7277 | |
| SURGICAL TECHNICIAN SR | 19.6431 | 20.1469 | 20.6634 | 21.1640 | 21.7117 | 22.2116 | |
| SURPLUS MATERLS ASST/OPER | 19.6357 | 20.1391 | 20.6555 | 21.1377 | 21.6204 | 22.1476 | |
| TRUCK DRIVER | 22.6925 | 23.2740 | 23.8708 | 24.3531 | 24.8358 | 25.3630 | |
| UNIT ASSISTANT | 16.1566 | 16.5708 | 16.9959 | 17.3503 | 17.7256 | 18.1637 | |
| UNIT ASSISTANT SR | 16.4913 | 16.9250 | 17.3593 | 17.6822 | 18.1503 | 18.6192 | |
| VISION SERVICES ASST I | 15.8391 | 16.2454 | 16.6618 | 17.0432 | 17.4245 | 17.7347 | |
| VISION SERVICES ASST II | 16.3958 | 16.8163 | 17.2474 | 17.6421 | 18.0367 | 18.3580 | |
| WAREHOUSE LEADPERSON | 20.0939 | 20.6095 | 21.1380 | 21.9419 | 22.4235 | 22.9513 | |
| WAREHOUSE PERSON | 19.6358 | 20.1391 | 20.6555 | 21.1377 | 21.6202 | 22.1476 | |
| YARDKEEPER | 15.1578 | 15.5459 | 15.9446 | 16.3621 | 16.7793 | 0.0000 | |

118
