## WAGE RATES EFFECTIVER OCTOBER 5, 2003
## STRUCTURE A/B1

| Job Title | START | 1 YEAR | 2 YEARS | 3 YEARS | 4 YEARS | 5 YEARS | 6 YEARS |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| CYTO-HISTO TECHNOL SUPV | 36.0845 | 37.0339 | 37.9829 | 39.5765 | 40.8820 | 41.6480 | |
| CYTOLOGY TECHNOL - CHIEF | 34.9018 | 35.8203 | 36.7384 | 37.5045 | 38.6421 | 39.8038 | |
| CYTOTECHNOLOGIST I | 30.9738 | 31.7885 | 32.6041 | 33.0355 | 34.1972 | 35.3350 | |
| CYTOTECHNOLOGIST II | 31.9981 | 32.8402 | 33.6822 | 34.3297 | 35.4672 | 36.7249 | |
| CYTOTECHNOLOGIST III | 33.0907 | 33.9617 | 34.8325 | 35.5985 | 36.9043 | 38.1863 | |
| DARK ROOM TECHNICIAN | 16.4248 | 16.8460 | 17.2780 | 17.6110 | 18.2188 | 18.6528 | |
| DEPARTMENT SECRETARY | 17.5346 | 17.9842 | 18.4454 | 18.7883 | 19.2859 | 19.7841 | |
| DIAG ULTRASONOGRAPHER I | 29.6897 | 30.4708 | 31.2520 | 31.7452 | 32.4464 | 33.5632 | |
| DIAG ULTRASONOGRAPHER II | 31.7684 | 32.6042 | 33.4403 | 34.3924 | 36.0138 | 37.6358 | 39.2571 |
| DIAG ULTRASONOGRAPHER III | 33.3566 | 34.2343 | 35.1122 | 36.1120 | 37.8145 | 39.6274 | 41.2201 |
| DIAG ULTRASONOGRPHR SUPV | 35.9243 | 36.8691 | 37.8146 | 39.5181 | 41.2203 | 43.0414 | 44.6254 |
| DIAG ULTRASNGRPHR TRAINEE | 26.0780 | | | | | | |
| DRIVER FOREMAN | 24.8714 | 25.5094 | 26.1633 | 26.6650 | 27.1652 | 27.7135 | |
| EEG TECHNOLOGIST I | 19.6553 | 20.1594 | 20.6763 | 21.2351 | 22.2413 | 23.1355 | |
| EEG TECHNOLOGIST II | 20.8242 | 21.3583 | 21.9058 | 22.4644 | 23.5821 | 24.6996 | |
| EKG TECHNICIAN | 18.7735 | 19.2547 | 19.7480 | 20.3200 | 21.1431 | 21.7508 | |
| EKG TECHNICIAN SR | 19.5883 | 20.0901 | 20.6053 | 21.2271 | 22.2285 | 23.0026 | |
| EMERGENCY DEPT TECH I | 16.4727 | 16.8952 | 17.3283 | 17.7249 | 18.1215 | 18.4441 | |
| EMERGENCY DEPT TECH II | 19.4845 | 19.9840 | 20.4963 | 21.0043 | 21.5612 | 22.0689 | |
| EMERGENCY RM ASST SF ONLY | 16.2291 | 16.6561 | 17.0831 | 17.4741 | 17.8650 | 18.1834 | |
| GARAGE ATTENDANT | 15.6447 | 16.0461 | 16.4574 | 16.7328 | 17.1235 | 17.5143 | |
| GARAGE/PARKING ATTENDANT | 15.6447 | 16.0461 | 16.4574 | 16.7328 | 17.1235 | 17.5143 | |
| GARDENER | 17.3076 | 17.7514 | 18.2062 | 18.6484 | 19.0909 | | |
| GARDENER - SENIOR | 18.6567 | 19.1350 | 19.6257 | 20.0719 | 20.5145 | | |
| HISTOLOGIC TECH I | 24.3296 | 24.9697 | 25.6099 | 26.1330 | 26.5457 | 26.8942 | |
| HISTOLOGIC TECH II | 26.3267 | 27.0196 | 27.7123 | 28.4309 | 28.9091 | 29.2361 | |
| HISTOLOGIC TECH TRAINEE | 20.3631 | 20.8984 | 21.4344 | 21.7926 | 22.3016 | 22.8104 | |
| HISTOLOGIC TECHNICIAN SUPV | 29.1302 | 29.8969 | 30.6636 | 31.4262 | 32.0357 | 32.4933 | |
| HOME HEALTH AIDE | 16.4217 | 16.8429 | 17.2749 | 17.6654 | 18.0708 | 18.4326 | |
| HOMEMAKER | 8.7314 | | | | | | |
| HOUSEKEEPING AIDE | 15.7503 | 16.1540 | 16.5680 | 17.0022 | 17.4362 | | |
| HOUSEKEEPING HEAD AIDE | 16.1624 | 16.5766 | 17.0022 | 17.4362 | 17.8703 | | |
| LABORATORY ASSISTANT I | 16.3905 | 16.8107 | 17.2422 | 17.5306 | 17.9396 | 18.3491 | |
| LABORATORY ASSISTANT II | 17.0811 | 17.5192 | 17.9685 | 18.3029 | 18.7873 | 19.2724 | |
| LABORATORY ASSISTANT III | 17.3696 | 17.8149 | 18.2716 | 18.6060 | 19.0906 | 19.5760 | |
| LABORATORY ASSISTANT SR | 17.7688 | 18.2245 | 18.6921 | 19.0858 | 19.6320 | 20.1771 | |

WAGE RATES EFFECTIVE OCTOBER 5, 2003
STRUCTURE A/B1

120
