## WAGE RATES EFFECTIVE DECEMBER 31, 2000
## STRUCTURE B2

| Job Title | START | 1 YEAR | 2 YEARS | 3 YEARS | 4 YEARS | 5 YEARS | 6 YEARS |
|---|---|---|---|---|---|---|---|
| SURGICAL TECHNICIAN | 15.2266 | 15.6168 | 16.0173 | 16.4140 | 16.8493 | 17.2458 | |
| SURGICAL TECHNICIAN SR | 15.5913 | 15.9910 | 16.4010 | 16.7982 | 17.2332 | 17.6302 | |
| UNIT ASSISTANT | 12.8241 | 13.1529 | 13.4901 | 13.7717 | 14.0696 | 14.4170 | |
| UNIT ASSISTANT SR | 13.0898 | 13.4341 | 13.7788 | 14.0350 | 14.4066 | 14.7788 | |
| VISION SERVICES ASST I | 12.5721 | 12.8946 | 13.2248 | 13.5278 | 13.8304 | 14.0770 | |
| VISION SERVICES ASST II | 13.0139 | 13.3475 | 13.6896 | 14.0032 | 14.3163 | 14.5714 | |
| YARDKEEPER | 12.0308 | 12.3395 | 12.6559 | 12.9873 | 13.3183 | | |

138
