**WAGE RATES EFFECTIVE JANUARY 1, 2002**
**STRUCTURE B2**

| Job Title | START | 1 YEAR | 2 YEARS | 3 YEARS | 4 YEARS | 5 YEARS | 6 YEARS |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| MEDICAL RECORD CODER I | 16.2872 | 16.7154 | 17.1441 | 17.5053 | 18.0059 | 18.5063 | |
| MEDICAL RECORD CODER II | 17.5810 | 18.0438 | 18.5063 | 18.8949 | 19.4351 | 19.9735 | |
| MEDICAL SECRETARY | 16.6820 | 17.1213 | 17.5602 | 18.0841 | 18.6506 | 19.2162 | |
| MEDICAL SECRETARY SR | 17.5158 | 17.9772 | 18.4382 | 18.9884 | 19.5831 | 20.1770 | |
| MEDICAL SECRETARY TRAINEE | 13.4458 | 13.7903 | 14.1438 | 14.4072 | 14.7888 | 15.1706 | |
| MESSENGER DRIVER | 12.7364 | 13.0632 | 13.3981 | 13.6304 | 13.8044 | | |
| MESSENGER DRIVER SR | 13.4915 | 13.8373 | 14.1926 | 14.4245 | 14.5980 | | |
| MONITOR TECHNICIAN | 13.8913 | 14.2400 | 14.5962 | 14.8933 | 15.2082 | 15.5753 | |
| MRI TECHNOLOGIST I | 24.7769 | 25.2725 | 25.7780 | 26.2933 | 26.8041 | | |
| MRI TECHNOLOGIST II | 26.4857 | 27.0155 | 27.5556 | 28.1067 | 28.6690 | 29.2423 | |
| MRI TECHNOLOGIST SUPVR | 28.1946 | 28.7581 | 29.3334 | 29.9202 | 30.5186 | 31.1289 | |
| MRI TECHNOLOGIST TRAINEE | 22.6158 | 23.0683 | 23.5295 | | | | |
| NUCLEAR MED TECH SUPV | 26.3880 | 27.0823 | 27.7768 | 28.5834 | 29.4267 | 30.2337 | |
| NUCLEAR MEDICINE TECH I | 23.8730 | 24.5010 | 25.1296 | 25.9364 | 26.7792 | 27.5857 | |
| NUCLEAR MEDICINE TECH II | 25.3380 | 26.0050 | 26.6716 | 27.4785 | 28.3217 | 29.1286 | |
| NURSE ASSISTANT | 13.0992 | 13.4349 | 13.7794 | 14.0958 | 14.4237 | 14.7167 | |
| NURSE ASSISTANT SR | 13.2436 | 13.5834 | 13.9317 | 14.2475 | 14.5526 | 14.8683 | |
| NUTRITION AIDE | 12.4831 | 12.8029 | 13.1310 | 13.6267 | 13.9569 | | |
| NUTRITION CLERK | 12.6399 | 12.9641 | 13.2964 | 13.7922 | 14.1223 | | |
| NUTRITION CLERK SENIOR | 12.9488 | 13.2727 | 13.6053 | 14.1011 | 14.4311 | | |
| OB TECHNICIAN | 13.7978 | 14.1515 | 14.5142 | 14.8740 | 15.2683 | 15.6278 | |
| OB TECHNICIAN SR | 14.1284 | 14.4907 | 14.8626 | 15.2223 | 15.6164 | 15.9761 | |
| OCCUPNL THER ASST I CERT | 15.9945 | 16.4045 | 16.8251 | 17.2325 | 17.6788 | 18.0860 | |
| OCCUPNL THERP ASST II CERT | 16.9542 | 17.3887 | 17.8349 | 18.2667 | 18.7394 | 19.1712 | |
| OPHTHALMIC PHOTOGRAPHER | 17.1632 | 17.6032 | 18.0547 | 18.4795 | 19.8954 | 21.3118 | |
| OPHTHALMIC TECH II CERT | 19.2367 | 19.7297 | 20.2356 | 21.3005 | 22.3658 | 23.4310 | 24.4956 |
| OPHTHALMIC TECHNICIAN | 18.3206 | 18.7904 | 19.2719 | 20.2862 | 21.3009 | 22.3151 | 23.3293 |
| ORTHOPEDIC TECHNICIAN | 15.6202 | 16.0207 | 16.4315 | 16.8384 | 17.2849 | 17.6917 | |
| ORTHOPEDIC TECHNICIAN SR | 15.9945 | 16.4045 | 16.8251 | 17.2325 | 17.6788 | 18.0860 | |
| PACEMAKER TECHNICIAN | 16.1943 | 16.5804 | 16.9762 | 17.4343 | 18.0940 | 18.5813 | |
| PACEMAKER TECHNICIAN SR | 16.8475 | 17.2501 | 17.6631 | 18.1618 | 18.9645 | 19.5849 | |
| PATHOLOGY TECH ASST | 14.9693 | 15.3532 | 15.7466 | 16.1368 | 16.5648 | 16.9545 | |
| PATHOLOGY TECH ASST SR | 15.3282 | 15.7212 | 16.1244 | 16.5146 | 16.9422 | 17.3324 | |
| PATIENT TRANSPORTATION AIDE | 12.3208 | 12.6363 | 12.9605 | 13.1578 | 13.4247 | 13.6917 | |

146
