## WAGE RATES EFFECTIVE JANUARY 1, 2002
## STRUCTURE B2

| Job Title | START | 1 YEAR | 2 YEARS | 3 YEARS | 4 YEARS | 5 YEARS | 6 YEARS |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| SURGICAL ASSISTANT CERT | 17.5852 | 18.0362 | 18.4988 | 18.9777 | 19.5474 | 20.2066 | |
| SURGICAL ASST TRAINEE | 16.6357 | | | | | | |
| SURGICAL ASST. | 17.1564 | 17.5963 | 18.0474 | 18.5148 | 19.0709 | 19.7138 | |
| SURGICAL TECHNICIAN | 15.9941 | 16.4039 | 16.8246 | 17.2413 | 17.6985 | 18.1150 | |
| SURGICAL TECHNICIAN SR | 16.3772 | 16.7969 | 17.2276 | 17.6448 | 18.1017 | 18.5188 | |
| UNIT ASSISTANT | 13.4705 | 13.8158 | 14.1700 | 14.4658 | 14.7787 | 15.1436 | |
| UNIT ASSISTANT SR | 13.7495 | 14.1112 | 14.4733 | 14.7424 | 15.1327 | 15.5237 | |
| VISION SERVICES ASST I | 13.2058 | 13.5445 | 13.8913 | 14.2096 | 14.5274 | 14.7865 | |
| VISION SERVICES ASST II | 13.6698 | 14.0202 | 14.3796 | 14.7089 | 15.0379 | 15.3058 | |
| YARDKEEPER | 12.6371 | 12.9614 | 13.2937 | 13.6419 | 13.9895 | | |

148
