**WAGE RATES EFFECTIVE OCTOBER 6, 2002**
**STRUCTURE B2**

| Job Title | START | 1 YEAR | 2 YEARS | 3 YEARS | 4 YEARS | 5 YEARS | 6 YEARS |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| ALLRGY ASST SUPV CENTRL LAB | 15.8683 | 16.1140 | 16.5273 | 16.9030 | 17.4732 | 18.0047 | |
| ALLERGY TECHNICIAN | 14.8654 | 15.2466 | 15.6376 | 15.9388 | 16.3700 | 16.7893 | |
| ALLERGY TECHNICIAN SR | 15.4685 | 15.8649 | 16.2719 | 16.6255 | 17.1095 | 17.5806 | |
| ALLERGY TECHNICIAN TRAINEE | 14.1024 | 14.4641 | 14.8351 | 15.1096 | 15.4874 | 15.8427 | |
| | | | | | | | |
| ANESTHESIA SUPPLY AIDE | 13.4941 | 13.8400 | 14.1949 | 14.5205 | 14.8585 | 15.1603 | |
| ANESTHESIA SUPPLY AIDE SR | 13.7259 | 14.0778 | 14.4388 | 14.7047 | 15.0905 | 15.4764 | |
| ANESTHESIA TECH ASST SR | 15.9572 | 16.3665 | 16.7856 | 17.2019 | 17.6581 | 18.0737 | |
| ANESTHESIA TECH ASST | 15.5681 | 15.9674 | 16.3764 | 16.7823 | 17.2274 | 17.6328 | |
| | | | | | | | |
| BONE DENSITOMETRY TECH | 15.6520 | 16.0532 | 16.4648 | 16.9415 | 17.6277 | 18.1344 | |
| | | | | | | | |
| CARDIOVASCULAR TECH | 19.5422 | 20.0432 | 20.5571 | 21.3192 | 22.4605 | 23.6029 | |
| CARDIOVASCULAR TECH SR | 20.9896 | 21.5280 | 22.0800 | 22.8413 | 23.9832 | 25.1252 | |
| | | | | | | | |
| CARE PARTNER | 13.6232 | 13.9723 | 14.3306 | 14.6596 | 15.0006 | 15.3052 | |
| | | | | | | | |
| CENTRAL SUPPLY TECHNICIAN | 13.4941 | 13.8400 | 14.1949 | 14.5205 | 14.8585 | 15.1603 | |
| | | | | | | | |
| CLERICAL GRADE 1 | 12.5172 | 12.8383 | 13.1671 | 13.3723 | 13.6504 | 13.9275 | |
| CLERICAL GRADE 2 | 13.0436 | 13.3782 | 13.7209 | 13.9508 | 14.2766 | 14.6023 | |
| CLERICAL GRADE 3 | 13.3184 | 13.6599 | 14.0100 | 14.2992 | 14.6142 | 14.9701 | |
| CLERICAL GRADE 4 | 13.5934 | 13.9417 | 14.2992 | 14.5654 | 14.9511 | 15.3371 | |
| CLERICAL GRADE 5 | 14.1408 | 14.5031 | 14.8751 | 15.1886 | 15.6231 | 16.0570 | |
| CLERICAL GRADE 6 | 14.7816 | 15.1609 | 15.5498 | 15.9114 | 16.4060 | 16.9004 | |
| CLERICAL GRADE 7 | 15.4172 | 15.8122 | 16.2177 | 16.6159 | 17.1950 | 17.7739 | |
| | | | | | | | |
| COMMUNICATION OPERATOR | 13.2932 | 13.6342 | 13.9834 | 14.2179 | 14.5498 | 14.7583 | 15.2625 |
| COMMUNICATION OPERATOR SR | 13.5732 | 13.9213 | 14.2781 | 14.5728 | 14.8939 | 15.1025 | 15.6306 |
| | | | | | | | |
| COOK A | 14.5671 | 14.9405 | 15.3239 | 15.6992 | 16.0753 | | |
| COOK IN CHARGE (SR) | 15.1930 | 15.5825 | 15.9822 | 16.3583 | 16.7337 | | |
| | | | | | | | |
| CT SCHEDULING ASSISTANT | 13.5934 | 13.9417 | 14.2992 | 14.5654 | 14.9511 | 15.3371 | |
| | | | | | | | |
| CUSTODIAN/WATCHMAN | 14.0594 | 14.4199 | 14.7895 | 15.1510 | 15.5136 | | |
| | | | | | | | |
| CYTO-HISTO TECHNOL - SUPV | 30.0847 | 30.8764 | 31.6679 | 32.9963 | 34.0845 | 34.7235 | |
| CYTOLOGY TECHNOL - CHIEF | 29.0989 | 29.8647 | 30.6298 | 31.2686 | 32.2171 | 33.1856 | |
| CYTOTECHNOLOGIST I | 25.8237 | 26.5033 | 27.1833 | 27.5428 | 28.5114 | 29.4601 | |
| CYTOTECHNOLOGIST II | 26.6781 | 27.3802 | 28.0820 | 28.6218 | 29.5702 | 30.6186 | |
| CYTOTECHNOLOGIST III | 27.5891 | 28.3151 | 29.0411 | 29.6799 | 30.7685 | 31.8374 | |
| | | | | | | | |
| DARK ROOM TECHNICIAN | 13.6940 | 14.0452 | 14.4054 | 14.6829 | 15.1894 | 15.5516 | |
| | | | | | | | |
| DEPARTMENT SECRETARY | 14.6192 | 14.9939 | 15.3787 | 15.6647 | 16.0793 | 16.4947 | |

149
