WAGE RATES EFFECTIVE OCTOBER 5, 2003
STRUCTURE B2

| Job Title | START | 1 YEAR | 2 YEARS | 3 YEARS | 4 YEARS | 5 YEARS | 6 YEARS |
|---|---|---|---|---|---|---|---|
| MEDICAL RECORD CODER I | 17.6162 | 18.0794 | 18.5431 | 18.9337 | 19.4751 | 20.0165 | |
| MEDICAL RECORD CODER II | 19.0156 | 19.5162 | 20.0165 | 20.4367 | 21.0210 | 21.6033 | |
| MEDICAL SECRETARY | 18.0433 | 18.5184 | 18.9931 | 19.5598 | 20.1725 | 20.7842 | |
| MEDICAL SECRETARY SR | 18.9451 | 19.4442 | 19.9427 | 20.5378 | 21.1811 | 21.8235 | |
| MEDICAL SECRETARY TRAINEE | 14.5429 | 14.9156 | 15.2980 | 15.5828 | 15.9956 | 16.4085 | |
| MESSENGER DRIVER | 13.7757 | 14.1291 | 14.4914 | 14.7426 | 14.9309 | | |
| MESSENGER DRIVER SR | 14.5924 | 14.9664 | 15.3507 | 15.6016 | 15.7892 | | |
| MONITOR TECHNICIAN | 15.0249 | 15.4020 | 15.7872 | 16.1086 | 16.4492 | 16.8462 | |
| MRI TECHNOLOGIST I | 26.7987 | 27.3347 | 27.8815 | 28.4388 | 28.9914 | | |
| MRI TECHNOLOGIST II | 28.6469 | 29.2199 | 29.8041 | 30.4002 | 31.0084 | 31.6285 | |
| MRI TECHNOLOGIST SUPVR | 30.4953 | 31.1047 | 31.7270 | 32.3617 | 33.0089 | 33.6691 | |
| MRI TECHNOLOGIST TRAINEE | 24.4612 | 24.9506 | 25.4495 | | | | |
| NUCLEAR MED TECH SUPV | 28.5412 | 29.2922 | 30.0434 | 30.9158 | 31.8280 | 32.7007 | |
| NUCLEAR MEDICINE TECH I | 25.8210 | 26.5002 | 27.1802 | 28.0529 | 28.9644 | 29.8367 | |
| NUCLEAR MEDICINE TECH II | 27.4056 | 28.1270 | 28.8480 | 29.7207 | 30.6328 | 31.5054 | |
| NURSE ASSISTANT | 14.1681 | 14.5312 | 14.9038 | 15.2460 | 15.6006 | 15.9176 | |
| NURSE ASSISTANT SR | 14.3242 | 14.6918 | 15.0686 | 15.4101 | 15.7401 | 16.0815 | |
| NUTRITION AIDE | 13.5017 | 13.8476 | 14.2024 | 14.7387 | 15.0958 | | |
| NUTRITION CLERK | 13.6713 | 14.0220 | 14.3814 | 14.9177 | 15.2747 | | |
| NUTRITION CLERK - SENIOR | 14.0055 | 14.3557 | 14.7155 | 15.2517 | 15.6086 | | |
| OB TECHNICIAN | 14.9237 | 15.3063 | 15.6986 | 16.0878 | 16.5142 | 16.9030 | |
| OB TECHNICIAN SR | 15.2812 | 15.6731 | 16.0754 | 16.4644 | 16.8907 | 17.2797 | |
| OCCUPNL THERP ASST I CERT | 17.2997 | 17.7431 | 18.1980 | 18.6387 | 19.1214 | 19.5618 | |
| OCCUPNL THERP ASST II CERT | 18.3377 | 18.8076 | 19.2902 | 19.7573 | 20.2686 | 20.7355 | |
| OPHTHALMIC PHOTOGRAPHER | 18.5637 | 19.0396 | 19.5280 | 19.9874 | 21.5188 | 23.0509 | |
| OPHTHALMIC TECH II CERT | 20.8064 | 21.3397 | 21.8868 | 23.0386 | 24.1908 | 25.3429 | 26.4944 |
| OPHTHALMIC TECHNICIAN | 19.8155 | 20.3237 | 20.8445 | 21.9415 | 23.0390 | 24.1360 | 25.2330 |
| ORTHOPEDIC TECHNICIAN | 16.8948 | 17.3280 | 17.7724 | 18.2124 | 18.6954 | 19.1354 | |
| ORTHOPEDIC TECHNICIAN SR | 17.2997 | 17.7431 | 18.1980 | 18.6387 | 19.1214 | 19.5618 | |
| PACEMAKER TECHNICIAN | 17.5158 | 17.9333 | 18.3614 | 18.8570 | 19.5705 | 20.0976 | |
| PACEMAKER TECHNICIAN SR | 18.2223 | 18.6577 | 19.1044 | 19.6438 | 20.5120 | 21.1830 | |
| PATHOLOGY TECH ASST | 16.1908 | 16.6060 | 17.0316 | 17.4536 | 17.9165 | 18.3380 | |
| PATHOLOGY TECH ASST SR | 16.5790 | 17.0040 | 17.4402 | 17.8622 | 18.3247 | 18.7467 | |
| PATIENT TRANSPORTATION AIDE | 13.3261 | 13.6675 | 14.0181 | 14.2315 | 14.5202 | 14.8090 | |

156
