## WAGE RATE EFFECTIVE OCTOBER 5, 2003
## STRUCTURE B2

| Job Title | START | 1 YEAR | 2 YEARS | 3 YEARS | 4 YEARS | 5 YEARS | 6 YEARS |
|---|---|---|---|---|---|---|---|
| PHARMACY INTERN | 15.9244 | 16.3326 | 16.7517 | 17.0629 | 17.5154 | 17.9675 | |
| PHARMACY TECH OUTPATIENT | 15.5284 | 15.9267 | 16.3349 | 16.6344 | 17.0688 | 17.5033 | |
| PHARMACY TECH INPATIENT | 16.1560 | 16.5703 | 16.9952 | 17.3064 | 17.7587 | 18.2108 | |
| PHYSICAL THERAPY AIDE | 13.6345 | 13.9845 | 14.3430 | 14.5812 | 14.9199 | 15.2587 | |
| PHYSICAL THERAPY AIDE SR | 14.2059 | 14.5704 | 14.9441 | 15.2201 | 15.6214 | 16.0231 | |
| PHYSICAL THERAPY ASST I | 18.7701 | 19.2514 | 19.7449 | 20.2230 | 20.7466 | 21.2245 | |
| PHYSICAL THERAPY ASST II | 19.8964 | 20.4064 | 20.9299 | 21.4366 | 21.9916 | 22.4980 | |
| PHYSICAL THERAPY TECH SR | 15.2812 | 15.6731 | 16.0754 | 16.4644 | 16.8907 | 17.2797 | |
| PHYSICAL THERAPY TECHNICIAN | 14.9237 | 15.3063 | 15.6986 | 16.0878 | 16.5142 | 16.9030 | |
| PROJECTOR OPERATOR | 17.0931 | 17.5351 | 17.9786 | | | | |
| PROJECTOR OPERATOR | 13.8117 | 14.1663 | 14.5288 | 14.9055 | 15.2816 | | |
| PSYCHIATRIC ATTENDANT | 15.7712 | 16.1864 | 16.6011 | 17.0096 | 17.4182 | 17.8127 | |
| PSYCHIATRIC TECHNICIAN | 18.2307 | 18.7106 | 19.1901 | 19.6562 | 20.1088 | 20.5609 | 21.0135 |
| PSYCHIATRIC TECHNICIAN SR | 19.0400 | 19.5409 | 20.0420 | 20.5089 | 20.9611 | 21.4130 | 21.8654 |
| RADIOLOGIC TECH I | 21.3866 | 21.9488 | 22.5118 | 22.8672 | 23.3719 | | |
| RADIOLOGIC TECH II | 22.6660 | 23.2623 | 23.8590 | 24.3993 | 25.1596 | | |
| RADIOLOGIC TECH III | 23.6527 | 24.2756 | 24.8980 | 25.6071 | 26.8145 | 28.0223 | 29.2293 |
| RADIOLOGIC TECH LIMITED | 20.4099 | 20.9464 | 21.4838 | 21.8232 | 22.3048 | | |
| RADIOLOGIC TECHNOL SUPV | 25.4738 | 26.1437 | 26.8145 | 28.0223 | 29.2293 | 30.4362 | 31.6440 |
| REG RESPIRATORY THER TECH I | 22.8278 | 23.4286 | 24.0288 | 24.4953 | 25.0788 | 25.6618 | |
| REG RESPIRATORY THER TECH II | 24.0466 | 24.6795 | 25.3121 | 25.8954 | 26.8289 | 27.9950 | 29.1612 |
| RESP CARE PRACTITIONER I | 21.7408 | 22.3129 | 22.8848 | 23.3292 | 23.8844 | 24.4402 | |
| RESP CARE PRACTITIONER II | 22.9013 | 23.5041 | 24.1068 | 24.6625 | 25.5513 | 26.6619 | 27.7726 |
| RESP CARE PRACTITIONER SUPV | 25.2490 | 25.9131 | 26.5776 | 27.1903 | 28.1701 | 29.3947 | 30.6195 |
| RESPIRATORY CARE PERMITTEE | 19.5667 | | | | | | |
| RESPIRATORY SUPPLY AIDE | 14.0339 | 14.3936 | 14.7627 | 15.1013 | 15.4528 | 15.7667 | |
| RESPIRATORY SUPPLY AIDE SR | 14.2749 | 14.6409 | 15.0164 | 15.2929 | 15.6941 | 16.0955 | |
| SERVICE PARTNER | 13.6568 | 14.0067 | 14.3659 | 14.7423 | 15.1188 | | |
| STERILE PROC TECH CERT SR | 15.7862 | 16.1907 | 16.6061 | 16.9873 | 17.3821 | 17.7351 | |
| STERILE PROC TECH II CERT | 15.1787 | 15.5679 | 15.9673 | 16.3340 | 16.7137 | 17.0530 | |
| STERILE PROCESSING TECH I | 14.5952 | 14.9691 | 15.3532 | 15.7056 | 16.0709 | 16.3970 | |
| STOREKEEPER | 13.8117 | 14.1663 | 14.5288 | 14.9055 | 15.2816 | | |
| STOREKEEPER CHIEF | 15.4761 | 15.8726 | 16.2797 | 16.7211 | 17.1044 | | |
| STOREKEEPER I | 14.0722 | 14.4330 | 14.8033 | 15.1864 | 15.5702 | | |
| STOREKEEPER II | 14.2986 | 14.6652 | 15.0413 | 15.4221 | 15.9473 | | |

157
