## WAGE RATES EFFECTIVE OCTOBER 3, 2004
## STRUCTURE B2

| Job Title | START | 1 YEAR | 2 YEARS | 3 YEARS | 4 YEARS | 5 YEARS | 6 YEARS |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| SURGICAL TECHNICIAN | 17.9913 | 18.4522 | 18.9254 | 19.3941 | 19.9084 | 20.3769 | |
| SURGICAL TECHNICIAN SR | 18.4221 | 18.8943 | 19.3787 | 19.8480 | 20.3620 | 20.8312 | |
| UNIT ASSISTANT | 15.1525 | 15.5408 | 15.9394 | 16.2720 | 16.6240 | 17.0345 | |
| UNIT ASSISTANT SR | 15.4664 | 15.8731 | 16.2805 | 16.5832 | 17.0222 | 17.4620 | |
| VISION SERVICES ASST I | 14.8547 | 15.2358 | 15.6259 | 15.9839 | 16.3413 | 16.6328 | |
| VISION SERVICES ASST II | 15.3767 | 15.7708 | 16.1751 | 16.5456 | 16.9156 | 17.2169 | |
| YARDKEEPER | 14.2150 | 14.5799 | 14.9535 | 15.3453 | 15.7363 | | |

163
