## WAGE RATES EFFECTIVE OCTOBER 8, 2000
## FRESNO STRUCTURE

| | START | 12 MOS | 24 MOS | 36 MOS | 48 MOS | 60 MOS |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| SURGICAL TECHNICIAN | 15.9387 | 16.3311 | 16.7566 | 17.1491 | 17.5776 | 18.0172 |
| SR. SURGICAL TECHNICIAN | 16.3203 | 17.1126 | 17.548 | 17.9498 | 18.3984 | 18.8585 |

| | START | 12 MOS | 24 MOS | 36 MOS | 48 MOS | 60 MOS |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| OB TECHNICIAN | 14.0792 | 14.4258 | 14.8014 | 15.1482 | 15.5269 | 15.9152 |
| SR. OB TECHNICIAN | 14.4162 | 14.7630 | 15.1386 | 15.4852 | 15.8723 | 16.2694 |
| PSYCHIATRIC TECHNICIAN | 15.4229 | 15.7908 | 16.1468 | 16.5034 | 16.8597 | 17.2813 |
| SR PSYCHIATRIC TECHNICIAN | 16.1013 | 16.4687 | 16.8252 | 17.1814 | 17.5376 | 17.9761 |
| PATHOLOGY TECHNICAL ASST | 15.2745 | 15.6507 | 16.0583 | 16.4343 | 16.8453 | 17.2666 |
| SR PATHOLOGY TECHNICAL ASST | 15.6402 | 16.0164 | 16.4240 | 16.8003 | 17.2199 | 17.6507 |
| NURSE ASSISTANT | 10.2376 | 10.4710 | 10.7142 | 10.9278 | 11.2010 | 11.4811 |
| SR. NURSE ASSISTANT | 10.3445 | 10.5878 | 10.8113 | 11.0444 | 11.3207 | 11.6037 |
| CENTRAL SUPPLY TECHNICIAN | 10.1406 | 10.3717 | 10.6126 | 10.8242 | 11.0949 | 11.3723 |
| STERILE PROCESSING TECH I | 10.5461 | 10.7865 | 11.0371 | 11.2574 | 11.5386 | 11.8271 |
| CERTIFIED STERILE PROC TECH II | 10.9680 | 11.2181 | 11.4787 | 11.7074 | 12.0003 | 12.3003 |
| SR CERTIFIED STERILE PROC TECH | 11.4066 | 11.6669 | 11.9377 | 12.176 | 12.4801 | 12.7922 |
| ANESTHESIA SUPPLY AIDE | 10.1406 | 10.3717 | 10.6126 | 10.8242 | 11.0949 | 11.3723 |
| SR. ANESTHESIA SUPPLY AIDE | 10.3137 | 10.5065 | 10.7762 | 11.0458 | 11.3217 | 11.6049 |
| ANESTHESIA TECHNICAL ASST | 11.7023 | 11.9689 | 12.2470 | 12.5129 | 12.8589 | 13.2260 |
| RESPIRATORY SUPPLY AIDE | 10.1406 | 10.3717 | 10.6126 | 10.8242 | 11.0949 | 11.3723 |
| SR. RESPIRATORY SUPPLY AIDE | 10.3137 | 10.5065 | 10.7762 | 11.0458 | 11.3217 | 11.6049 |
| HOME HEALTH AIDE | 10.2848 | 10.5258 | 10.7567 | 10.9689 | 11.2431 | 11.5243 |

| | START | 2 MOS | 14 MOS | 26 MOS | 38 MOS | 50 MOS |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| MEDICAL ASSISTANT | 11.3705 | 11.6310 | 11.8916 | 12.1033 | 12.4801 | 12.7160 |
| SR MEDICAL ASSISTANT | 11.6596 | 11.9182 | 12.1781 | 12.3900 | 12.7000 | 13.0175 |

| | START | 3 MOS | 12 MOS | 24 MOS | 36 MOS | 48 MOS |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| UNIT ASSISTANT | 11.5155 | 11.7485 | 12.0022 | 12.2963 | 12.6038 | 12.9188 |
| SR. UNIT ASSISTANT | 11.8501 | 12.0631 | 12.3875 | 12.7015 | 13.019 | 13.3444 |
| MONITOR TECHNICIAN | 11.8319 | 12.0650 | 12.3190 | 12.6157 | 12.9257 | 13.2422 |
| PATIENT TRANSPORTATION AIDE | 10.5355 | 10.6893 | 10.9012 | 11.0747 | 11.3518 | 11.6354 |
| PHYSICAL THERAPY AIDE | 10.8532 | 11.0360 | 11.2865 | 11.6705 | 11.9621 | 12.2613 |
| SR PHYSICAL THERAPY AIDE | 11.3058 | 11.5176 | 11.8158 | 12.1245 | 12.4276 | 12.7381 |

165
