## Article 12

**EFFECTIVE MAY 29, 2005**

**WAGE SCHEDULE 1A**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $8.53 | | | | | | | | |
| 2 | $9.10 | | | | | | | | |
| 3 | $9.72 | | | | | | | | |
| 4 | $10.37 | | | | | | | | |
| 5 | $11.07 | | | | | | | | |
| 6 | $11.81 | | | | | | | | |
| 7 | $12.61 | 1 | $14.69 | | | | | | |
| 8 | $13.45 | 2 | $15.64 | | | | | | |
| 9 | $14.38 | 3 | $16.65 | | | | | | |
| 10 | $15.32 | 4 | $17.73 | | | | | | |
| 11 | $16.36 | 5 | $18.88 | 1 | $17.73 | | | | |
| 12 | $17.46 | 6 | $20.10 | 2 | $19.98 | | | | |
| 13 | $18.63 | 7 | $21.40 | 3 | $22.51 | | | | |
| 14 | $19.89 | 8 | $22.79 | 4 | $25.37 | | | | |
| 15 | $21.22 | 9 | $24.26 | 5 | $28.59 | 1 | $26.11 | 1 | $27.42 |
| PB | 108 | | 114 | | 120 | | 120 | | 120 |

**EFFECTIVE MAY 28, 2006**

**WAGE SCHEDULE 1A**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $8.74 | | | | | | | | |
| 2 | $9.33 | | | | | | | | |
| 3 | $9.96 | | | | | | | | |
| 4 | $10.63 | | | | | | | | |
| 5 | $11.34 | | | | | | | | |
| 6 | $12.10 | | | | | | | | |
| 7 | $12.92 | 1 | $15.06 | | | | | | |
| 8 | $13.79 | 2 | $16.03 | | | | | | |
| 9 | $14.72 | 3 | $17.07 | | | | | | |
| 10 | $15.71 | 4 | $18.18 | | | | | | |
| 11 | $16.76 | 5 | $19.35 | 1 | $18.17 | | | | |
| 12 | $17.89 | 6 | $20.61 | 2 | $20.48 | | | | |
| 13 | $19.09 | 7 | $21.94 | 3 | $23.07 | | | | |
| 14 | $20.38 | 8 | $23.36 | 4 | $26.00 | | | | |
| 15 | $21.75 | 9 | $24.87 | 5 | $29.30 | 1 | $26.78 | 1 | $28.11 |
| PB | 108 | | 114 | | 120 | | 120 | | 120 |

36
