Article 12

**EFFECTIVE MAY 27, 2007**

**WAGE SCHEDULE 1A**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $8.94 | | | | | | | | |
| 2 | $9.54 | | | | | | | | |
| 3 | $10.18 | | | | | | | | |
| 4 | $10.87 | | | | | | | | |
| 5 | $11.60 | | | | | | | | |
| 6 | $12.38 | | | | | | | | |
| 7 | $13.21 | 1 | $15.40 | | | | | | |
| 8 | $14.10 | 2 | $16.40 | | | | | | |
| 9 | $15.05 | 3 | $17.48 | | | | | | |
| 10 | $16.06 | 4 | $18.59 | | | | | | |
| 11 | $17.14 | 5 | $19.79 | 1 | $18.58 | | | | |
| 12 | $18.29 | 6 | $21.07 | 2 | $20.94 | | | | |
| 13 | $19.53 | 7 | $22.43 | 3 | $23.59 | | | | |
| 14 | $20.84 | 8 | $23.88 | 4 | $26.59 | | | | |
| 15 | $22.24 | 9 | $25.43 | 5 | $29.98 | 1 | $27.38 | 1 | $28.74 |
| PB | 109 | | 114 | | 120 | | 120 | | 120 |

**EFFECTIVE MAY 25, 2008**

**WAGE SCHEDULE 1A**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.12 | | | | | | | | |
| 2 | $9.73 | | | | | | | | |
| 3 | $10.39 | | | | | | | | |
| 4 | $11.09 | | | | | | | | |
| 5 | $11.83 | | | | | | | | |
| 6 | $12.63 | | | | | | | | |
| 7 | $13.48 | 1 | $15.71 | | | | | | |
| 8 | $14.38 | 2 | $16.73 | | | | | | |
| 9 | $15.35 | 3 | $17.81 | | | | | | |
| 10 | $16.38 | 4 | $18.96 | | | | | | |
| 11 | $17.48 | 5 | $20.19 | 1 | $18.95 | | | | |
| 12 | $18.68 | 6 | $21.49 | 2 | $21.35 | | | | |
| 13 | $19.91 | 7 | $22.88 | 3 | $24.06 | | | | |
| 14 | $21.25 | 8 | $24.38 | 4 | $27.12 | | | | |
| 15 | $22.68 | 9 | $25.94 | 5 | $30.56 | 1 | $27.91 | 1 | $29.31 |
| PB | 109 | | 114 | | 120 | | 120 | | 120 |

37
