Article 12

**EFFECTIVE MAY 29, 2005**

**WAGE SCHEDULE 2**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $8.61 | | | | | | | | |
| 2 | $9.20 | | | | | | | | |
| 3 | $9.82 | | | | | | | | |
| 4 | $10.49 | | | | | | | | |
| 5 | $11.20 | | | | | | | | |
| 6 | $11.96 | | | | | | | | |
| 7 | $12.78 | 1 | $15.11 | | | | | | |
| 8 | $13.64 | 2 | $16.07 | | | | | | |
| 9 | $14.57 | 3 | $17.10 | | | | | | |
| 10 | $15.56 | 4 | $18.19 | | | | | | |
| 11 | $16.62 | 5 | $19.35 | 1 | $19.16 | | | | |
| 12 | $17.75 | 6 | $20.58 | 2 | $20.45 | | | | |
| 13 | $18.96 | 7 | $21.90 | 3 | $23.03 | | | | |
| 14 | $20.24 | 8 | $23.30 | 4 | $25.84 | | | | |
| 15 | $21.62 | 9 | $24.79 | 5 | $29.21 | 1 | $26.79 | 1 | $27.81 |
| PB | 110 | | 115 | | 121 | | 121 | | 121 |

**EFFECTIVE MAY 28, 2006**

**WAGE SCHEDULE 2**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $8.63 | | | | | | | | |
| 2 | $9.43 | | | | | | | | |
| 3 | $10.07 | | | | | | | | |
| 4 | $10.75 | | | | | | | | |
| 5 | $11.49 | | | | | | | | |
| 6 | $12.27 | | | | | | | | |
| 7 | $13.10 | 1 | $15.49 | | | | | | |
| 8 | $13.99 | 2 | $16.48 | | | | | | |
| 9 | $14.94 | 3 | $17.53 | | | | | | |
| 10 | $15.95 | 4 | $18.65 | | | | | | |
| 11 | $17.04 | 5 | $19.84 | 1 | $18.81 | | | | |
| 12 | $18.19 | 6 | $21.11 | 2 | $20.96 | | | | |
| 13 | $19.43 | 7 | $22.45 | 3 | $23.80 | | | | |
| 14 | $20.75 | 8 | $23.89 | 4 | $26.58 | | | | |
| 15 | $22.16 | 9 | $25.41 | 5 | $29.94 | 1 | $27.46 | 1 | $28.51 |
| PB | 110 | | 115 | | 121 | | 121 | | 121 |

41
