## Article 12

**EFFECTIVE MAY 22, 2011**

**WAGE SCHEDULE 2**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.77 | | | | | | | | |
| 2 | $10.43 | | | | | | | | |
| 3 | $11.14 | | | | | | | | |
| 4 | $11.90 | | | | | | | | |
| 5 | $12.71 | | | | | | | | |
| 6 | $13.57 | | | | | | | | |
| 7 | $14.49 | 1 | $17.15 | | | | | | |
| 8 | $15.48 | 2 | $18.24 | | | | | | |
| 9 | $16.53 | 3 | $19.41 | | | | | | |
| 10 | $17.65 | 4 | $20.64 | | | | | | |
| 11 | $18.85 | 5 | $21.96 | 1 | $20.60 | | | | |
| 12 | $20.13 | 6 | $23.38 | 2 | $23.20 | | | | |
| 13 | $21.50 | 7 | $24.85 | 3 | $26.12 | | | | |
| 14 | $22.96 | 8 | $26.43 | 4 | $29.42 | | | | |
| 15 | $24.52 | 9 | $28.12 | 5 | $33.13 | 1 | $30.39 | 1 | $31.55 |
| PB | 110 | | 115 | | 121 | | 121 | | 121 |

44
