## Article 12

Wage Schedule 2A applies to all Employees having a designated Base Location listed below:*

Altoona, PA
Austin, TX
Bakersfield, CA
Bangor, ME
Beaumont, TX
Battle Creek, MI
Bremerton, WA
Charleston, WV
Chico, CA
Dallas, TX
Denver, CO
El Paso, TX
Eugene, OR
Eureka, CA
Frederick, MD
Fresno, CA
Fort Worth, TX
Hagerstown, MD
Hazleton, PA
Houston, TX
Indianapolis, IN

Jackson, MI
Kalamazoo, MI
Kansas City, MO
Lakeport, CA
Las Vegas, NV
Little Rock, AR
Marysville, CA
Medford, OR
Minn-St. Paul, MN
Napa, CA
New Castle, PA
New Orleans, LA
Newport News, VA
Norfolk, VA
Oklahoma City, OK
Olympia, WA
Port Huron, MI
Portland, OR
Redding, CA
Reno, NV

Richmond, VA
Santa Cruz, CA
Santa Rosa, CA
Sacramento, CA
Salem, OR
Salinas, CA
Salt Lake City, UT
San Antonio, TX
San Luis Obispo, CA
St. Louis, MO
Stockton, CA
Scranton, PA
Spokane, WA
Topeka, KS
Tulsa, OK
Ukiah, CA
Vancouver, WA
Wheeling, WV
Williamsport, PA
Yakima, WA

*Except that Wage Schedule 1A or 2, respectively as specified thereunder, applies to such Employee hired at other than such Base Location and not yet transferred to the Base Location on a Permanent Transfer.

50
