Article 12

## EFFECTIVE MAY 29, 2005

## WAGE SCHEDULE 2B

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $8.78 | | | | | | | | |
| 2 | $9.38 | | | | | | | | |
| 3 | $10.02 | | | | | | | | |
| 4 | $10.70 | | | | | | | | |
| 5 | $11.44 | | | | | | | | |
| 6 | $12.22 | | | | | | | | |
| 7 | $13.05 | 1 | $15.28 | | | | | | |
| 8 | $13.94 | 2 | $16.29 | | | | | | |
| 9 | $14.89 | 3 | $17.37 | | | | | | |
| 10 | $15.91 | 4 | $18.52 | | | | | | |
| 11 | $17.00 | 5 | $19.74 | 1 | $18.42 | | | | |
| 12 | $18.16 | 6 | $21.04 | 2 | $20.78 | | | | |
| 13 | $19.40 | 7 | $22.44 | 3 | $23.44 | | | | |
| 14 | $20.72 | 8 | $23.92 | 4 | $26.45 | | | | |
| 15 | $22.14 | 9 | $25.50 | 5 | $29.84 | 1 | $27.39 | 1 | $29.47 |
| PB | 110 | | 116 | | 122 | | 122 | | 122 |

## EFFECTIVE MAY 28, 2006

## WAGE SCHEDULE 2B

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.00 | | | | | | | | |
| 2 | $9.61 | | | | | | | | |
| 3 | $10.27 | | | | | | | | |
| 4 | $10.97 | | | | | | | | |
| 5 | $11.72 | | | | | | | | |
| 6 | $12.52 | | | | | | | | |
| 7 | $13.38 | 1 | $15.68 | | | | | | |
| 8 | $14.29 | 2 | $16.70 | | | | | | |
| 9 | $15.27 | 3 | $17.80 | | | | | | |
| 10 | $16.31 | 4 | $18.98 | | | | | | |
| 11 | $17.42 | 5 | $20.23 | 1 | $18.88 | | | | |
| 12 | $18.61 | 6 | $21.57 | 2 | $21.30 | | | | |
| 13 | $19.86 | 7 | $23.00 | 3 | $24.03 | | | | |
| 14 | $21.24 | 8 | $24.52 | 4 | $27.11 | | | | |
| 15 | $22.69 | 9 | $26.14 | 5 | $30.59 | 1 | $28.07 | 1 | $29.18 |
| PB | 110 | | 116 | | 122 | | 122 | | 122 |

51
