Article 12

**EFFECTIVE MAY 24, 2009**

**WAGE SCHEDULE 2B**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.57 | | | | | | | | |
| 2 | $10.22 | | | | | | | | |
| 3 | $10.92 | | | | | | | | |
| 4 | $11.67 | | | | | | | | |
| 5 | $12.48 | | | | | | | | |
| 6 | $13.32 | | | | | | | | |
| 7 | $14.22 | 1 | $16.66 | | | | | | |
| 8 | $15.20 | 2 | $17.76 | | | | | | |
| 9 | $16.23 | 3 | $18.94 | | | | | | |
| 10 | $17.34 | 4 | $20.19 | | | | | | |
| 11 | $18.53 | 5 | $21.52 | 1 | $20.08 | | | | |
| 12 | $19.79 | 6 | $22.95 | 2 | $22.66 | | | | |
| 13 | $21.14 | 7 | $24.47 | 3 | $25.57 | | | | |
| 14 | $22.59 | 8 | $26.08 | 4 | $28.65 | | | | |
| 15 | $24.13 | 9 | $27.61 | 5 | $32.55 | 1 | $29.86 | 1 | $31.05 |
| PB | 119 | | 116 | | 122 | | 122 | | 122 |

**EFFECTIVE MAY 23, 2010**

**WAGE SCHEDULE 2B**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.76 | | | | | | | | |
| 2 | $10.43 | | | | | | | | |
| 3 | $11.14 | | | | | | | | |
| 4 | $11.90 | | | | | | | | |
| 5 | $12.71 | | | | | | | | |
| 6 | $13.58 | | | | | | | | |
| 7 | $14.51 | 1 | $16.99 | | | | | | |
| 8 | $15.50 | 2 | $18.11 | | | | | | |
| 9 | $16.56 | 3 | $19.31 | | | | | | |
| 10 | $17.69 | 4 | $20.58 | | | | | | |
| 11 | $18.90 | 5 | $21.95 | 1 | $20.48 | | | | |
| 12 | $20.19 | 6 | $23.41 | 2 | $23.11 | | | | |
| 13 | $21.56 | 7 | $24.96 | 3 | $26.09 | | | | |
| 14 | $23.04 | 8 | $26.61 | 4 | $29.42 | | | | |
| 15 | $24.61 | 9 | $29.37 | 5 | $33.20 | 1 | $30.46 | 1 | $31.57 |
| PB | 119 | | 116 | | 122 | | 122 | | 122 |

53
