Article 12

## EFFECTIVE MAY 29, 2005

## WAGE SCHEDULE 2C

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.01 | | | | | | | | |
| 2 | $9.52 | | | | | | | | |
| 3 | $10.27 | | | | | | | | |
| 4 | $10.96 | | | | | | | | |
| 5 | $11.70 | | | | | | | | |
| 6 | $12.49 | | | | | | | | |
| 7 | $13.33 | 1 | $15.58 | | | | | | |
| 8 | $14.23 | 2 | $16.60 | | | | | | |
| 9 | $15.20 | 3 | $17.70 | | | | | | |
| 10 | $16.22 | 4 | $18.88 | | | | | | |
| 11 | $17.32 | 5 | $20.10 | 1 | $16.59 | | | | |
| 12 | $18.49 | 6 | $21.42 | 2 | $21.10 | | | | |
| 13 | $19.74 | 7 | $22.83 | 3 | $23.81 | | | | |
| 14 | $21.07 | 8 | $24.33 | 4 | $26.88 | | | | |
| 15 | $22.49 | 9 | $25.93 | 5 | $30.34 | 1 | $27.62 | 1 | $28.91 |
| PB | 111 | | 116 | | 123 | | 123 | | 123 |

## EFFECTIVE MAY 28, 2006

## WAGE SCHEDULE 2C

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.24 | | | | | | | | |
| 2 | $9.86 | | | | | | | | |
| 3 | $10.53 | | | | | | | | |
| 4 | $11.24 | | | | | | | | |
| 5 | $12.00 | | | | | | | | |
| 6 | $12.81 | | | | | | | | |
| 7 | $13.67 | 1 | $15.97 | | | | | | |
| 8 | $14.58 | 2 | $17.02 | | | | | | |
| 9 | $15.58 | 3 | $18.14 | | | | | | |
| 10 | $16.63 | 4 | $19.33 | | | | | | |
| 11 | $17.75 | 5 | $20.60 | 1 | $19.16 | | | | |
| 12 | $18.95 | 6 | $21.96 | 2 | $21.63 | | | | |
| 13 | $20.23 | 7 | $23.40 | 3 | $24.41 | | | | |
| 14 | $21.59 | 8 | $24.94 | 4 | $27.55 | | | | |
| 15 | $23.05 | 9 | $26.58 | 5 | $31.10 | 1 | $28.31 | 1 | $29.63 |
| PB | 111 | | 116 | | 123 | | 123 | | 123 |

55
