Article 12

**EFFECTIVE MAY 27, 2007**

**WAGE SCHEDULE 2C**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.45 | | | | | | | | |
| 2 | $10.09 | | | | | | | | |
| 3 | $10.77 | | | | | | | | |
| 4 | $11.49 | | | | | | | | |
| 5 | $12.27 | | | | | | | | |
| 6 | $13.10 | | | | | | | | |
| 7 | $13.98 | 1 | $16.33 | | | | | | |
| 8 | $14.92 | 2 | $17.40 | | | | | | |
| 9 | $15.93 | 3 | $18.55 | | | | | | |
| 10 | $17.01 | 4 | $19.77 | | | | | | |
| 11 | $18.15 | 5 | $21.07 | 1 | $19.59 | | | | |
| 12 | $19.39 | 6 | $22.45 | 2 | $22.11 | | | | |
| 13 | $20.69 | 7 | $23.93 | 3 | $24.98 | | | | |
| 14 | $22.08 | 8 | $25.50 | 4 | $28.17 | | | | |
| 15 | $23.57 | 9 | $27.18 | 5 | $31.80 | 1 | $28.95 | 1 | $30.30 |
| PB | 111 | | 116 | | 123 | | 123 | | 123 |

**EFFECTIVE MAY 25, 2008**

**WAGE SCHEDULE 2C**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.64 | | | | | | | | |
| 2 | $10.29 | | | | | | | | |
| 3 | $10.98 | | | | | | | | |
| 4 | $11.73 | | | | | | | | |
| 5 | $12.52 | | | | | | | | |
| 6 | $13.38 | | | | | | | | |
| 7 | $14.26 | 1 | $16.66 | | | | | | |
| 8 | $15.22 | 2 | $17.75 | | | | | | |
| 9 | $16.25 | 3 | $18.92 | | | | | | |
| 10 | $17.35 | 4 | $20.18 | | | | | | |
| 11 | $18.52 | 5 | $21.49 | 1 | $19.98 | | | | |
| 12 | $19.78 | 6 | $22.90 | 2 | $22.55 | | | | |
| 13 | $21.10 | 7 | $24.41 | 3 | $25.46 | | | | |
| 14 | $22.52 | 8 | $26.01 | 4 | $28.74 | | | | |
| 15 | $24.04 | 9 | $27.72 | 5 | $32.44 | 1 | $29.53 | 1 | $30.91 |
| PB | 111 | | 116 | | 123 | | 123 | | 123 |

56
