## Article 12

**EFFECTIVE MAY 22, 2011**

**WAGE SCHEDULE 2C**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $10.23 | | | | | | | | |
| 2 | $10.92 | | | | | | | | |
| 3 | $11.55 | | | | | | | | |
| 4 | $12.44 | | | | | | | | |
| 5 | $13.29 | | | | | | | | |
| 6 | $14.18 | | | | | | | | |
| 7 | $15.13 | 1 | $17.68 | | | | | | |
| 8 | $16.15 | 2 | $18.54 | | | | | | |
| 9 | $17.24 | 3 | $20.08 | | | | | | |
| 10 | $18.41 | 4 | $21.40 | | | | | | |
| 11 | $19.65 | 5 | $22.81 | 1 | $21.21 | | | | |
| 12 | $20.97 | 6 | $24.31 | 2 | $23.94 | | | | |
| 13 | $22.39 | 7 | $25.90 | 3 | $27.02 | | | | |
| 14 | $23.90 | 8 | $27.81 | 4 | $30.50 | | | | |
| 15 | $25.51 | 9 | $29.42 | 5 | $34.43 | 1 | $31.33 | 1 | $32.80 |
| PB | 111 | | 118 | | 123 | | 123 | | 123 |

58
