## Article 12

**Wage Schedule 2C applies to all Employees having a designated Base Location listed below:**

Akron, OH
Albany, NY
Allentown, PA
Alton, IL
Ann Arbor, MI
Binghamton, NY
Canton, OH
Centralia, IL
Champaign, IL
Cincinnati, OH
Cleveland, OH
Collinsville, IL
Columbus, OH
Dayton, OH
Decatur, IL
Detroit, MI

Dover, DE
Flint, MI
Grand Rapids, MI
Harrisburg, PA
Kingston, NY
Lancaster, PA
Lansing, MI
Lewisburg, PA
Los Angeles, CA
Madison, WI
Manchester, NH
Milwaukee, WI
Oceanside, CA
Ottawa, IL
Philadelphia, PA
Pittsburgh, PA

Portland, ME
Poughkeepsie, NY
Providence, RI
Reading, PA
Rochester, NY
Santa Ana, CA
San Diego, CA
San Francisco-East Bay, CA
Saginaw, MI
San Jose, CA
Springfield, MA
Syracuse, NY
Toledo, OH
Utica, NY
Youngstown, OH

59
