## Article 12

**EFFECTIVE MAY 29, 2005**

**WAGE SCHEDULE 2D**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.10 | | | | | | | | |
| 2 | $9.71 | | | | | | | | |
| 3 | $10.36 | | | | | | | | |
| 4 | $11.06 | | | | | | | | |
| 5 | $11.80 | | | | | | | | |
| 6 | $12.59 | | | | | | | | |
| 7 | $13.43 | 1 | $15.66 | | | | | | |
| 8 | $14.33 | 2 | $16.69 | | | | | | |
| 9 | $15.30 | 3 | $17.78 | | | | | | |
| 10 | $16.32 | 4 | $18.94 | | | | | | |
| 11 | $17.42 | 5 | $20.18 | 1 | $18.67 | | | | |
| 12 | $18.58 | 6 | $21.50 | 2 | $21.27 | | | | |
| 13 | $19.83 | 7 | $22.91 | 3 | $23.97 | | | | |
| 14 | $21.16 | 8 | $24.41 | 4 | $27.02 | | | | |
| 15 | $22.58 | 9 | $26.01 | 5 | $30.45 | 1 | $27.71 | 1 | $29.07 |
| PB | 111 | | 116 | | 123 | | 123 | | 123 |

**EFFECTIVE MAY 28, 2006**

**WAGE SCHEDULE 2D**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.33 | | | | | | | | |
| 2 | $9.96 | | | | | | | | |
| 3 | $10.62 | | | | | | | | |
| 4 | $11.33 | | | | | | | | |
| 5 | $12.09 | | | | | | | | |
| 6 | $12.91 | | | | | | | | |
| 7 | $13.77 | 1 | $16.05 | | | | | | |
| 8 | $14.69 | 2 | $17.10 | | | | | | |
| 9 | $15.69 | 3 | $18.22 | | | | | | |
| 10 | $16.73 | 4 | $19.41 | | | | | | |
| 11 | $17.85 | 5 | $20.69 | 1 | $19.34 | | | | |
| 12 | $19.05 | 6 | $22.04 | 2 | $21.60 | | | | |
| 13 | $20.32 | 7 | $23.48 | 3 | $24.57 | | | | |
| 14 | $21.69 | 8 | $25.02 | 4 | $27.69 | | | | |
| 15 | $23.14 | 9 | $26.68 | 5 | $31.21 | 1 | $28.40 | 1 | $29.80 |
| PB | 111 | | 116 | | 123 | | 123 | | 123 |

60
