Article 12

**EFFECTIVE MAY 24, 2009**

**WAGE SCHEDULE 2D**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.92 | | | | | | | | |
| 2 | $10.59 | | | | | | | | |
| 3 | $11.29 | | | | | | | | |
| 4 | $12.05 | | | | | | | | |
| 5 | $12.88 | | | | | | | | |
| 6 | $13.72 | | | | | | | | |
| 7 | $14.64 | 1 | $17.07 | | | | | | |
| 8 | $15.62 | 2 | $18.19 | | | | | | |
| 9 | $16.67 | 3 | $19.38 | | | | | | |
| 10 | $17.79 | 4 | $20.65 | | | | | | |
| 11 | $18.98 | 5 | $22.01 | 1 | $20.58 | | | | |
| 12 | $20.26 | 6 | $23.45 | 2 | $23.19 | | | | |
| 13 | $21.61 | 7 | $24.99 | 3 | $26.14 | | | | |
| 14 | $23.06 | 8 | $26.62 | 4 | $29.45 | | | | |
| 15 | $24.61 | 9 | $28.37 | 5 | $33.20 | 1 | $30.21 | 1 | $31.70 |
| PB | 111 | | 116 | | 123 | | 123 | | 123 |

**EFFECTIVE MAY 23, 2010**

**WAGE SCHEDULE 2D**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $10.12 | | | | | | | | |
| 2 | $10.80 | | | | | | | | |
| 3 | $11.52 | | | | | | | | |
| 4 | $12.29 | | | | | | | | |
| 5 | $13.12 | | | | | | | | |
| 6 | $14.00 | | | | | | | | |
| 7 | $14.94 | 1 | $17.41 | | | | | | |
| 8 | $15.94 | 2 | $18.55 | | | | | | |
| 9 | $17.01 | 3 | $19.77 | | | | | | |
| 10 | $18.15 | 4 | $21.06 | | | | | | |
| 11 | $19.36 | 5 | $22.45 | 1 | $20.99 | | | | |
| 12 | $20.66 | 6 | $23.92 | 2 | $23.66 | | | | |
| 13 | $22.06 | 7 | $25.49 | 3 | $26.66 | | | | |
| 14 | $23.52 | 8 | $27.16 | 4 | $30.04 | | | | |
| 15 | $25.10 | 9 | $28.94 | 5 | $33.88 | 1 | $30.81 | 1 | $32.39 |
| PB | 111 | | 116 | | 123 | | 123 | | 123 |

62
