Article 12

## EFFECTIVE MAY 27, 2007

### WAGE SCHEDULE 2E

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.81 | | | | | | | | |
| 2 | $10.25 | | | | | | | | |
| 3 | $10.94 | | | | | | | | |
| 4 | $11.67 | | | | | | | | |
| 5 | $12.45 | | | | | | | | |
| 6 | $13.29 | | | | | | | | |
| 7 | $14.18 | 1 | $16.54 | | | | | | |
| 8 | $15.13 | 2 | $17.57 | | | | | | |
| 9 | $16.14 | 3 | $18.88 | | | | | | |
| 10 | $17.22 | 4 | $20.17 | | | | | | |
| 11 | $18.37 | 5 | $21.55 | 1 | $19.94 | | | | |
| 12 | $19.60 | 6 | $23.02 | 2 | $22.57 | | | | |
| 13 | $20.92 | 7 | $24.60 | 3 | $25.54 | | | | |
| 14 | $22.32 | 8 | $26.28 | 4 | $28.90 | | | | |
| 15 | $23.81 | 9 | $28.08 | 5 | $32.71 | 1 | $29.46 | 1 | $31.26 |
| PB | 111 | | 118 | | 124 | | 124 | | 124 |

## EFFECTIVE MAY 25, 2008

### WAGE SCHEDULE 2E

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $9.80 | | | | | | | | |
| 2 | $10.46 | | | | | | | | |
| 3 | $11.16 | | | | | | | | |
| 4 | $11.90 | | | | | | | | |
| 5 | $12.70 | | | | | | | | |
| 6 | $13.55 | | | | | | | | |
| 7 | $14.46 | 1 | $16.67 | | | | | | |
| 8 | $15.43 | 2 | $18.02 | | | | | | |
| 9 | $16.46 | 3 | $19.26 | | | | | | |
| 10 | $17.56 | 4 | $20.57 | | | | | | |
| 11 | $18.74 | 5 | $21.68 | 1 | $20.34 | | | | |
| 12 | $20.00 | 6 | $23.48 | 2 | $23.02 | | | | |
| 13 | $21.34 | 7 | $25.09 | 3 | $26.05 | | | | |
| 14 | $22.77 | 8 | $26.81 | 4 | $29.48 | | | | |
| 15 | $24.29 | 9 | $28.64 | 5 | $33.36 | 1 | $30.05 | 1 | $31.69 |
| PB | 111 | | 118 | | 124 | | 124 | | 124 |

65
