## Article 12

**EFFECTIVE MAY 24, 2009**

**WAGE SCHEDULE 2E**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $10.00 | | | | | | | | |
| 2 | $10.67 | | | | | | | | |
| 3 | $11.38 | | | | | | | | |
| 4 | $12.15 | | | | | | | | |
| 5 | $12.96 | | | | | | | | |
| 6 | $13.83 | | | | | | | | |
| 7 | $14.75 | 1 | $17.21 | | | | | | |
| 8 | $15.74 | 2 | $18.39 | | | | | | |
| 9 | $16.80 | 3 | $19.64 | | | | | | |
| 10 | $17.92 | 4 | $20.99 | | | | | | |
| 11 | $19.12 | 5 | $22.42 | 1 | $20.75 | | | | |
| 12 | $20.40 | 6 | $23.95 | 2 | $23.48 | | | | |
| 13 | $21.77 | 7 | $25.59 | 3 | $26.57 | | | | |
| 14 | $23.22 | 8 | $27.34 | 4 | $30.07 | | | | |
| 15 | $24.78 | 9 | $29.21 | 5 | $34.00 | 1 | $30.65 | 1 | $32.53 |
| PB | 111 | | 118 | | 124 | | 124 | | 124 |

**EFFECTIVE MAY 23, 2010**

**WAGE SCHEDULE 2E**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $10.20 | | | | | | | | |
| 2 | $10.89 | | | | | | | | |
| 3 | $11.61 | | | | | | | | |
| 4 | $12.39 | | | | | | | | |
| 5 | $13.22 | | | | | | | | |
| 6 | $14.11 | | | | | | | | |
| 7 | $15.05 | 1 | $17.55 | | | | | | |
| 8 | $16.06 | 2 | $18.75 | | | | | | |
| 9 | $17.13 | 3 | $20.03 | | | | | | |
| 10 | $18.28 | 4 | $21.40 | | | | | | |
| 11 | $19.51 | 5 | $22.87 | 1 | $21.17 | | | | |
| 12 | $20.81 | 6 | $24.43 | 2 | $23.88 | | | | |
| 13 | $22.21 | 7 | $26.10 | 3 | $27.11 | | | | |
| 14 | $23.69 | 8 | $27.88 | 4 | $30.67 | | | | |
| 15 | $25.28 | 9 | $29.79 | 5 | $34.71 | 1 | $31.28 | 1 | $33.18 |
| PB | 111 | | 118 | | 124 | | 124 | | 124 |

66
