Article 12

**EFFECTIVE MAY 22, 2011**

**WAGE SCHEDULE 2E**

| Step | ACST | Step | CST | Step | SCST | Step | S-1 | Step | S-2 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | $10.40 | | | | | | | | |
| 2 | $11.10 | | | | | | | | |
| 3 | $11.84 | | | | | | | | |
| 4 | $12.63 | | | | | | | | |
| 5 | $13.48 | | | | | | | | |
| 6 | $14.38 | | | | | | | | |
| 7 | $15.35 | 1 | $17.00 | | | | | | |
| 8 | $16.38 | 2 | $18.12 | | | | | | |
| 9 | $17.47 | 3 | $20.43 | | | | | | |
| 10 | $18.65 | 4 | $21.83 | | | | | | |
| 11 | $19.90 | 5 | $23.32 | 1 | $21.59 | | | | |
| 12 | $21.23 | 6 | $24.92 | 2 | $24.43 | | | | |
| 13 | $22.65 | 7 | $26.62 | 3 | $27.65 | | | | |
| 14 | $24.17 | 8 | $28.44 | 4 | $31.28 | | | | |
| 15 | $25.79 | 9 | $30.39 | 5 | $35.40 | 1 | $31.69 | 1 | $33.84 |
| PB | 111 | | 118 | | 124 | | 124 | | 124 |

Wage Schedule 2E applies to all Employees having New York, NY and Long Island-East, NY as their designated Base Locations.

67
