## Article 13

Effective 3/2/2003

| Distance Between Computation Point and Job Location | | | Daily Transportation Expense Allowance | Daily Miscellaneous Allowance |
| :--- | :--- | :--- | :--- | :--- |
| | up to | mile(s) | | |
| 0 | | 1 | 0.00 | 2.00 |
| 1 | " | 2 | 0.00 | 2.00 |
| 2 | " | 3 | 0.00 | 2.00 |
| 3 | " | 4 | 0.00 | 2.00 |
| 4 | " | 5 | 0.00 | 2.00 |
| 5 | " | 6 | 0.00 | 3.00 |
| 6 | " | 7 | 0.00 | 3.55 |
| 7 | " | 8 | 0.00 | 4.10 |
| 8 | " | 9 | 0.00 | 4.70 |
| 9 | " | 10 | 0.00 | 5.30 |
| 10 | " | 11 | 0.36 | 5.60 |
| 11 | " | 12 | 1.08 | 5.60 |
| 12 | " | 13 | 1.80 | 5.60 |
| 13 | " | 14 | 2.52 | 5.60 |
| 14 | " | 15 | 3.24 | 5.60 |
| 15 | " | 16 | 3.96 | 5.60 |
| 16 | " | 17 | 4.68 | 5.60 |
| 17 | " | 18 | 5.40 | 6.25 |
| 18 | " | 19 | 6.12 | 6.25 |
| 19 | " | 20 | 6.84 | 6.25 |
| 20 | " | 21 | 7.56 | 6.25 |
| 21 | " | 22 | 8.28 | 6.25 |
| 22 | " | 23 | 9.00 | 6.25 |
| 23 | " | 24 | 9.72 | 6.25 |
| 24 | " | 25 | 10.44 | 6.25 |
| 25 | " | 26 | 11.16 | 6.25 |
| 26 | " | 27 | 11.88 | 6.25 |
| 27 | " | 28 | 12.60 | 6.25 |
| 28 | " | 29 | 13.32 | 6.25 |
| 29 | " | 30 | 14.04 | 6.25 |
| 30 | " | 31 | 14.76 | 6.25 |
| 31 | " | 32 | 15.48 | 6.25 |
| 32 | " | 33 | 16.20 | 6.25 |
| 33 | " | 34 | 16.92 | 6.25 |
| 34 | " | 35 | 17.64 | 6.25 |
| 35 | " | 36 | 18.36 | 6.25 |
| 36 | " | 37 | 19.08 | 6.25 |

83
