## Article 13

**Effective 3/2/2003**

| Distance Between Computation Point and Job Location | | | Daily Transportation Expense Allowance | Daily Miscellaneous Allowance |
| :--- | :--- | :--- | :--- | :--- |
| 37 | " | " | 38 | 19.80 | 6.25 |
| 38 | " | " | 39 | 20.52 | 6.25 |
| 39 | " | " | 40 | 21.24 | 6.25 |
| 40 | " | " | 41 | 21.96 | 6.25 |
| 41 | " | " | 42 | 22.68 | 6.25 |
| 42 | " | " | 43 | 23.40 | 6.25 |
| 43 | " | " | 44 | 24.12 | 6.25 |
| 44 | " | " | 45 | 24.84 | 6.25 |
| 45 | " | " | 46 | 25.56 | 6.25 |
| 46 | " | " | 47 | 26.28 | 6.25 |
| 47 | " | " | 48 | 27.00 | 6.25 |
| 48 | " | " | 49 | 27.72 | 6.25 |
| 49 | " | " | 50 | 28.44 | 6.25 |
| 50 | " | " | 51 | 29.16 | 6.25 |
| 51 | " | " | 52 | 29.88 | 6.25 |
| 52 | " | " | 53 | 30.60 | 6.25 |
| 53 | " | " | 54 | 31.32 | 6.25 |
| 54 | " | " | 55 | 32.04 | 6.25 |
| 55 | " | " | 56 | 32.76 | 6.25 |
| 56 | " | " | 57 | 33.48 | 6.25 |
| 57 | " | " | 58 | 34.20 | 6.25 |
| 58 | " | " | 59 | 34.92 | 6.25 |
| 59 | " | " | 60 | 35.64 | 6.25 |
| 60 | " | " | 61 | 36.36 | 6.25 |
| 61 | " | " | 62 | 37.08 | 6.25 |
| 62 | " | " | 63 | 37.80 | 6.25 |
| 63 | " | " | 64 | 38.52 | 6.25 |
| 64 | " | " | 65 | 39.24 | 6.25 |

84
