## Article 13

**Effective 10/2/2005**

| Distance Between Computation Point and Job Location | | Daily Transportation Expense Allowance (1) | Daily Miscellaneous Allowance |
| :--- | :--- | :--- | :--- |
| 37 | " " 38 | 20.63 | 6.25 |
| 38 | " " 39 | 21.38 | 6.25 |
| 39 | " " 40 | 22.13 | 6.25 |
| 40 | " " 41 | 22.88 | 6.25 |
| 41 | " " 42 | 23.63 | 6.25 |
| 42 | " " 43 | 24.38 | 6.25 |
| 43 | " " 44 | 25.13 | 6.25 |
| 44 | " " 45 | 25.88 | 6.25 |
| 45 | " " 46 | 26.63 | 6.25 |
| 46 | " " 47 | 27.38 | 6.25 |
| 47 | " " 48 | 28.13 | 6.25 |
| 48 | " " 49 | 28.88 | 6.25 |
| 49 | " " 50 | 29.63 | 6.25 |
| 50 | " " 51 | 30.38 | 6.25 |
| 51 | " " 52 | 31.13 | 6.25 |
| 52 | " " 53 | 31.88 | 6.25 |
| 53 | " " 54 | 32.63 | 6.25 |
| 54 | " " 55 | 33.38 | 6.25 |
| 55 | " " 56 | 34.13 | 6.25 |
| 56 | " " 57 | 34.88 | 6.25 |
| 57 | " " 58 | 35.63 | 6.25 |
| 58 | " " 59 | 36.38 | 6.25 |
| 59 | " " 60 | 37.13 | 6.25 |
| 60 | " " 61 | 37.88 | 6.25 |
| 61 | " " 62 | 38.63 | 6.25 |
| 62 | " " 63 | 39.63 | 6.25 |
| 63 | " " 64 | 40.13 | 6.25 |
| 64 | " " 65 | 40.88 | 6.25 |

(1) Table to be adjusted if the IRS standard mileage rate is less than $.375

86
