## Article 13

**Effective 10/6/2008**

| Distance Between Computation Point and Job Location | | | Daily Transportation Expense Allowance (1) | Daily Miscellaneous Allowance |
| :--- | :--- | :--- | :--- | :--- |
| 0 | up to | 1 mile(s) | 0.00 | 2.00 |
| 1 | " " | 2 " | 0.00 | 2.00 |
| 2 | " " | 3 " | 0.00 | 2.00 |
| 3 | " " | 4 " | 0.00 | 2.00 |
| 4 | " " | 5 " | 0.00 | 2.00 |
| 5 | " " | 6 " | 0.00 | 3.00 |
| 6 | " " | 7 " | 0.00 | 3.55 |
| 7 | " " | 8 " | 0.00 | 4.10 |
| 8 | " " | 9 " | 0.00 | 4.70 |
| 9 | " " | 10 " | 0.00 | 5.30 |
| 10 | " " | 11 " | 0.39 | 5.60 |
| 11 | " " | 12 " | 1.17 | 5.60 |
| 12 | " " | 13 " | 1.95 | 5.60 |
| 13 | " " | 14 " | 2.73 | 5.60 |
| 14 | " " | 15 " | 3.51 | 5.60 |
| 15 | " " | 16 " | 4.29 | 5.60 |
| 16 | " " | 17 " | 5.07 | 5.60 |
| 17 | " " | 18 " | 5.85 | 6.25 |
| 18 | " " | 19 " | 6.63 | 6.25 |
| 19 | " " | 20 " | 7.41 | 6.25 |
| 20 | " " | 21 " | 8.19 | 6.25 |
| 21 | " " | 22 " | 8.97 | 6.25 |
| 22 | " " | 23 " | 9.75 | 6.25 |
| 23 | " " | 24 " | 10.53 | 6.25 |
| 24 | " " | 25 " | 11.31 | 6.25 |
| 25 | " " | 26 " | 12.09 | 6.25 |
| 26 | " " | 27 " | 12.87 | 6.25 |
| 27 | " " | 28 " | 13.65 | 6.25 |
| 28 | " " | 29 " | 14.45 | 6.25 |
| 29 | " " | 30 " | 15.21 | 6.25 |
| 30 | " " | 31 " | 15.99 | 6.25 |
| 31 | " " | 32 " | 16.77 | 6.25 |
| 32 | " " | 33 " | 17.55 | 6.25 |
| 33 | " " | 34 " | 18.33 | 6.25 |
| 34 | " " | 35 " | 19.11 | 6.25 |
| 35 | " " | 36 " | 19.89 | 6.25 |
| 36 | " " | 37 " | 20.67 | 6.25 |

87
