## Article 13

**Effective 10/5/2008**

| Distance Between Computation Point and Job Location | | Daily Transportation Expense Allowance (1) | Daily Miscellaneous Allowance |
| :--- | :--- | :--- | :--- |
| 37 | " " | 38 | " | 21.45 | 6.25 |
| 38 | " " | 39 | " | 22.23 | 6.25 |
| 39 | " " | 40 | " | 23.01 | 6.25 |
| 40 | " " | 41 | " | 23.79 | 6.25 |
| 41 | " " | 42 | " | 24.57 | 6.25 |
| 42 | " " | 43 | " | 25.35 | 6.25 |
| 43 | " " | 44 | " | 26.13 | 6.25 |
| 44 | " " | 45 | " | 26.91 | 6.25 |
| 45 | " " | 46 | " | 27.69 | 6.25 |
| 46 | " " | 47 | " | 28.47 | 6.25 |
| 47 | " " | 48 | " | 29.45 | 6.25 |
| 48 | " " | 49 | " | 30.03 | 6.25 |
| 49 | " " | 50 | " | 30.81 | 6.25 |
| 50 | " " | 51 | " | 31.59 | 6.25 |
| 51 | " " | 52 | " | 32.37 | 6.25 |
| 52 | " " | 53 | " | 33.15 | 6.25 |
| 53 | " " | 54 | " | 33.93 | 6.25 |
| 54 | " " | 55 | " | 34.71 | 6.25 |
| 55 | " " | 56 | " | 35.49 | 6.25 |
| 56 | " " | 57 | " | 36.27 | 6.25 |
| 57 | " " | 58 | " | 37.05 | 6.25 |
| 58 | " " | 59 | " | 37.83 | 6.25 |
| 59 | " " | 60 | " | 38.61 | 6.25 |
| 60 | " " | 61 | " | 39.39 | 6.25 |
| 61 | " " | 62 | " | 40.17 | 6.25 |
| 62 | " " | 63 | " | 40.95 | 6.25 |
| 63 | " " | 64 | " | 41.73 | 6.25 |
| 64 | " " | 65 | " | 42.51 | 6.25 |

(1) Table to be adjusted if the IRS standard mileage rate is less than $.39

88
