Article 26

Attachment 1

## Communication Service Installer (CSI)

| Minimum | Step | Effective 11/1/2004 | Effective 6/29/2005 | Effective 6/28/2006 | Effective 6/27/2007 |
| :--- | :--- | :--- | :--- | :--- | :--- |
| | 1 | $10.00 | $10.10 | $10.20 | $10.30 |
| | 2 | $10.31 | $10.43 | $10.55 | $10.66 |
| | 3 | $10.64 | $10.77 | $10.90 | $11.03 |
| | 4 | $10.97 | $11.12 | $11.28 | $11.42 |
| | 5 | $11.32 | $11.49 | $11.66 | $11.82 |
| | 6 | $11.67 | $11.86 | $12.05 | $12.24 |
| | 7 | $12.04 | $12.25 | $12.46 | $12.66 |
| | 8 | $12.42 | $12.65 | $12.89 | $13.11 |
| | 9 | $12.81 | $13.07 | $13.32 | $13.57 |
| | 10 | $13.21 | $13.49 | $13.76 | $14.04 |
| | 11 | $13.63 | $13.93 | $14.25 | $14.53 |
| | 12 | $14.06 | $14.39 | $14.73 | $15.04 |
| Maximum | 13 | $14.50 | $14.86 | $15.23 | $15.57 |

| Minimum | Step | Effective 6/25/2008 | Effective 6/24/2009 | Effective 6/23/2010 | Effective 6/22/2011 |
| :--- | :--- | :--- | :--- | :--- | :--- |
| | 1 | $10.40 | $10.50 | $10.61 | $10.72 |
| | 2 | $10.77 | $10.89 | $11.01 | $11.13 |
| | 3 | $11.16 | $11.29 | $11.42 | $11.56 |
| | 4 | $11.56 | $11.70 | $11.85 | $12.00 |
| | 5 | $11.98 | $12.13 | $12.30 | $12.46 |
| | 6 | $12.41 | $12.58 | $12.76 | $12.94 |
| | 7 | $12.85 | $13.04 | $13.24 | $13.44 |
| | 8 | $13.31 | $13.52 | $13.74 | $13.96 |
| | 9 | $13.79 | $14.02 | $14.25 | $14.49 |
| | 10 | $14.29 | $14.54 | $14.79 | $15.05 |
| | 11 | $14.80 | $15.07 | $15.34 | $15.63 |
| | 12 | $15.33 | $15.63 | $15.92 | $16.23 |
| Maximum | 13 | $15.88 | $16.20 | $16.52 | $16.85 |

148
