## Appendix 2

**Colorado**
Colorado Springs, CO
Denver, CO
Grand Junction, CO

**Wyoming**
Casper, WY

**Utah**
Ogden, UT
Provo, UT

**Idaho**
Boise, ID
Idaho Falls, ID

**Minnesota**
Bemidji, MN
Brainerd, MN
Duluth, MN
Marshall, MN

**North Dakota**
Bismarck, ND
Fargo, ND

**Nebraska**
Grand Island, NB
Norfolk, NB
North Platte, NB

**Iowa**
Burlington, IA
Cedar Rapids, IA
Davenport, IA
Des Moines, IA
Mason City, IA

**South Dakota**
Aberdeen, SD
Pierre, SD
Rapid City, SD

Greeley, CO
Pueblo, CO

Cheyenne, WY

Salt Lake City, UT

Pocatello, ID
Twin Falls, ID

Minn.-St. Paul, MN
Rochester, MN
St. Cloud, MN

Grand Forks, ND

Omaha, NB
Sidney, NB

Ottumwa, IA
Red Oak, IA
Sioux City, IA
Spencer, IA
Waterloo, IA

Sioux Falls, SD
Watertown, SD

170
