Local Memorandum

**Cincinnati-Cleveland Area**

Akron, OH
Canton, OH
Cincinnati, OH
Cleveland, OH

Columbus, OH
Dayton, OH
Toledo, OH
Youngstown, OH

**Colorado-Wyoming Area**

Casper, WY
Cheyenne, WY
Colorado Springs, CO
Denver, CO

Grand Junction, CO
Greeley, CO
Pueblo, CO

**Connecticut Area**

Bridgeport, CT
Framingham, MA
Hartford, CT
New Haven, CT

New London, CT
Providence, RI
Springfield, MA

**Florida Area**

Chipley, FL
Cocoa, FL
Daytona Beach, FL
Fort Lauderdale, FL
Fort Myers, FL
Fort Pierce, FL
Gainesville, FL
Jacksonville, FL

Miami, FL
Orlando, FL
Panama City, FL
Pensacola, FL
Tallahassee, FL
Tampa, FL
West Palm Beach, FL

**Georgia Area**

Albany, GA
Athens, GA
Atlanta, GA
Augusta, GA
Carrollton, GA
Columbus, GA
Covington, GA

Gainesville, GA
Hazlehurst, GA
Macon, GA
Rome, GA
Savannah, GA
Thomasville, GA
Waycross, GA

184
