Local Memorandum

**Michigan Area**

Ann Arbor, MI
Battle Creek, MI
Benton Harbor, MI
Cadillac, MI
Detroit, MI
Escanaba, MI
Flint, MI
Grand Rapids, MI
Houghton, MI
Iron Mountain, MI

Jackson, MI
Kalamazoo, MI
Lansing, MI
Marquette, MI
Petoskey, MI
Port Huron, MI
Saginaw, MI
Sault Ste. Marie, MI
Traverse City, MI

**Minnesota - North Dakota Area**

Bemidji, MN
Bismarck, ND
Brainerd, MN
Duluth, MN
Fargo, ND
Grand Forks, ND

Marshall, MN
Minneapolis-
St. Paul, MN
Rochester, MN
St. Cloud, MN

**Missouri-Arkansas Area**

Forrest City, AR
Fort Smith, AR
Hot Springs, AR
Jonesboro, AR
Joplin, MO

Little Rock, AR
Pine Bluff, AR
Sikeston, MO
Springfield, MO
St. Louis, MO

**Nebraska-Iowa-South Dakota Area**

Aberdeen, SD
Burlington, IA
Cedar Rapids, IA
Davenport, IA
Des Moines, IA
Grand Island, NB
Mason City, IA
Norfolk, NB
North Platte, NB
Omaha, NB

Ottumwa, IA
Pierre, SD
Rapid City, SD
Red Oak, IA
Sidney, NB
Sioux City, IA
Sioux Falls, SD
Spencer, IA
Waterloo, IA
Watertown, SD

166
