National Memorandum

Attachment A

| Pension Band | Effective on or after 7/1/05 |
|---|---|
| 103 | $ 35.85 |
| 104 | $ 37.23 |
| 105 | $ 38.63 |
| 106 | $ 40.04 |
| 107 | $ 41.46 |
| 108 | $ 42.83 |
| 109 | $ 44.24 |
| 110 | $ 45.63 |
| 111 | $ 47.03 |
| 112 | $ 48.41 |
| 113 | $ 49.83 |
| 114 | $ 51.18 |
| 115 | $ 52.60 |
| 116 | $ 54.00 |
| 117 | $ 55.38 |
| 118 | $ 56.77 |
| 119 | $ 58.18 |
| 120 | $ 59.56 |
| 121 | $ 60.96 |
| 122 | $ 62.36 |
| 123 | $ 63.74 |
| 124 | $ 65.13 |
| 125 | $ 66.55 |
| 126 | $ 67.89 |
| 127 | $ 69.32 |
| 128 | $ 70.71 |
| 129 | $ 72.13 |
| 130 | $ 73.49 |
| 131 | $ 74.92 |
| 132 | $ 76.28 |
| 133 | $ 77.58 |
| 134 | $ 79.13 |
| 135 | $ 80.46 |

262
