National Memorandum

## VACATIONS

The schedule below shall replace the existing schedule in the Article - Vacations in all collective bargaining agreements. The revised schedule reflects administrative modifications to clarify Term of Employment periods and does not change the current provisions of the Article - Vacations nor the current practices regarding vacation eligibility for employees who terminate employment by resignation or who are terminated for cause.

Eligible Vacation Days For Employee Leaving Company During Calendar Year Due To Resignation Or Termination for Cause

| Month of Termination | Term of Employment Completed (or would have been completed) in the Calendar Year of the Termination |
| :--- | :--- |
| | **1 - 6 Years** | **7 - 14 Years** | **15 - 24 Years** | **25 and Over Years** |
| January | 1 | 2 | 2 | 2 |
| February | 2 | 3 | 4 | 4 |
| March | 3 | 4 | 5 | 7 |
| April | 3 | 5 | 7 | 9 |
| May | 4 | 6 | 9 | 11 |
| June | 5 | 8 | 10 | 13 |
| July | 6 | 9 | 12 | 15 |
| August | 7 | 10 | 14 | 17 |
| September | 7 | 11 | 16 | 19 |
| October | 8 | 13 | 17 | 21 |
| November | 9 | 14 | 19 | 23 |
| December | 10 | 15 | 20 | 25 |

295
