National Memorandum

Attachment 3

2003 National Memorandum of Understanding
DENTAL EXPENSE PLAN

Dental benefits for occupational employees under the Lucent Technologies Inc. Dental Expense Plan will continue with such changes described below effective July 1, 2003.

The schedule of allowances for the Type B services listed below will be increased 10 percent.

| Procedure # | Service |
| :--- | :--- |
| 2110 | Amalgam-one surface, deciduous |
| 2120 | Amalgam-two surfaces, deciduous |
| 2130 | Amalgam-three surfaces, deciduous |
| 2330 | Resin-one surface (anterior) |
| 2331 | Resin-two surfaces (anterior) |
| 2332 | Resin-three surfaces (anterior) |
| 2335 | Resin- (involving incisal angle) |
| 2385 | Resin-one surface, posterior-permanent |
| 2386 | Resin-two surface, posterior-permanent |
| 2387 | Resin-three or more surfaces, posterior-permanent |
| 4211 | Gingivectomy or gingivoplasty |
| 4341 | Periodontal scaling and root planning |
| 7110 | Single tooth |
| 7120 | Each additional tooth |
| 7210 | Extraction of tooth, erupted |
| 7220 | Impaction that requires incision of overlying |
| 7230 | Impaction that requires incision of overlying |
| 9220 | General |
| 9240 | Intravenous sedation |

326
