National Memorandum

**LEG TIME-IN-TITLE/GRADE AND TIME-IN-LOCATION**

| Level / Grade / Title | Level Equalization Group | Time in- Title/ Grade | Time In Location |
| :--- | :--- | :--- | :--- |
| 000A | 2 | 12 | 12 |
| 000B | 3 | 24 | 12 |
| 000C | Not Assigned | NA | NA |
| 000D | Not Assigned | NA | NA |
| 001 | Not Assigned | NA | NA |
| 002 | Not Assigned | NA | NA |
| 00AA | 2 | 12 | 12 |
| 032 | 2 | 12 | 12 |
| 033 | 2 | 12 | 12 |
| 034 | 2 | 12 | 12 |
| 035 | 3 | 24 | 12 |
| 036 | 3 | 24 | 12 |
| 037 | 3 | 36 | 12 |
| 038 | 4 | 36 | 12 |
| 039 | 4 | 36 | 12 |
| 040 | 4 | 36 | 12 |
| 060 | Not Assigned | NA | NA |
| 095 | Not Assigned | NA | NA |
| 096 | Not Assigned | NA | NA |
| 097 | Not Assigned | NA | NA |
| 155 | Not Assigned | NA | NA |
| 158 | Not Assigned | NA | NA |
| 161 | Not Assigned | NA | NA |
| 163 | Not Assigned | NA | NA |
| 181 | Not Assigned | NA | NA |
| 182 | Not Assigned | NA | NA |
| 631 | 2 | 12 | 12 |
| 641 | 3 | 24 | 12 |
| 651 | 3 | 24 | 12 |
| 661 | 4 | 36 | 12 |
| 671 | 4 | 36 | 12 |
| 681 | 5 | 36 | 12 |
| 691 | 5 | 36 | 12 |
| ACES | 4 | 24 | 12 |
| ACSS | 4 | 24 | 12 |
| ACST | 4 | 24 | 12 |
| AR | 5 | 24 | 12 |
| BL401-Bldg. Atten. (P/T) | 1 | 9 | 9 |

364
