National Memorandum

| Level / Grade / Title | Level Equalization Group | Time In- Title/ Grade | Time In Location |
|---|---|---|---|
| BL405-Bldg. Atten. (F/T) | 2 | 9 | 9 |
| BL407-Print Repro. Operator | 2 | 9 | 9 |
| BL408-Telephone Operator | 2 | 12 | 12 |
| BL409-Gentl Utility Wkr. | 2 | 12 | 12 |
| BL410-Bench Mach. Oper. | 2 | 12 | 12 |
| BL411-Bldg. & Grounds main. | 3 | 12 | 12 |
| BL413-Rec.-Shpr./Strkpr. | 3 | 12 | 12 |
| BL415-Alarm & CB Operator | 3 | 12 | 12 |
| BL417-Grounds Svc. Oper. | 4 | 18 | 18 |
| BL419-Chauffer | 4 | 12 | 12 |
| BL424-Pipefitter Trainee | 4 | 18 | 12 |
| BL426-Chemical Processor | 4 | 18 | 12 |
| BL427-Electron Device Proc. | 4 | 18 | 12 |
| BL428-Chef | 4 | 24 | 12 |
| BL429-Electrician Trainee | 4 | 18 | 12 |
| BL431-Wiring Mechanic | 5 | 24 | 12 |
| BL432 Chemical Technology Mech | 5 | 24 | 12 |
| BL433-Electron Device Mech. | 5 | 24 | 12 |
| BL434-Instrument Maker | 5 | 24 | 12 |
| BL435-Plant Watch Oper. | 5 | 24 | 12 |
| BL436-Sr. Wiring Mechanic | 5 | 24 | 12 |
| BL439-Plant Oper. Mechanic | 5 | 24 | 12 |
| BL444-Pipefitter | 5 | 36 | 12 |
| BL445-Metal Fab. Mechanic | 6 | 24 | 12 |
| BL446-Outside Plant Mech. | 5 | 24 | 12 |
| BL447-Electrician | 5 | 36 | 12 |
| BL448-Instr. & Cont. Mech. | 6 | 36 | 12 |
| BL450-Sr. Chem. Tech. Mech. | 6 | 36 | 12 |
| BL451-Sr. Elec. Dev. Mech. | 6 | 36 | 12 |
| BL452-Laboratory Mech. | 6 | 36 | 12 |
| BL453-Watch Engineer | 6 | 36 | 12 |
| BL454-Technician | 6 | 36 | 12 |
| BL455-Inst. & Tlmkr.-Prec. | 6 | 36 | 12 |
| BL456-Sr. Exp. Glass Tech. | 6 | 36 | 12 |
| BL464-Chemical Handler | 4 | 15 | 12 |
| BL465-Plant System Specialist | 6 | 36 | 12 |
| BL474-Reprographics Specialist | 3 | 12 | 12 |
| BL475-Control Room Operator | 3 | 12 | 12 |
| BL476-Reprographics Operator | 2 | 9 | 9 |
| BL480-Admin. Associate | 2 | 9 | 9 |

365
