National Memorandum

| Level / Grade / Title | Level Equalization Group | Time In- Title/ Grade | Time in Location |
|---|---|---|---|
| BL481-Admin. Specialist | 2 | 15 | 12 |
| BL482-Elec. & Photo. Proc. | 5 | 36 | 12 |
| BL483-Facilities Maint. | 3 | 15 | 12 |
| BL484-Facilities Sys. Tech. | 5 | 36 | 12 |
| BL485-Facilities Tech. | 6 | 36 | 12 |
| BL486-Mech. Technologist | 6 | 36 | 12 |
| BL487-Photo. Lab. Tech. | 6 | 36 | 12 |
| BL488-Sr. Admin. Spec. | 4 | 18 | 12 |
| BL489-Elec. & Photo. Oper. | 3 | 24 | 12 |
| BL495-Service Area Oper. | 3 | 12 | 12 |
| BL496-Mech. Trades Assoc. | 3 | 24 | 12 |
| BL497-Comp. Master Tlmker. | 6 | 36 | 12 |
| BL505-Admin. Svcs. Assoc. | 2 | 9 | 9 |
| BL506-Admin. Svcs. Spec. | 3 | 15 | 12 |
| BL507-Elec. Trades Assoc | 3 | 24 | 12 |
| BL508-Mech. Trds Ass. (ERC) | 3 | 24 | 12 |
| BL509-Elec. Trades Tech. | 6 | 36 | 12 |
| BL510-Tlmkr./Mach. Tech. | 6 | 36 | 12 |
| BL511 | 6 | 36 | 12 |
| BL512 | 6 | 36 | 12 |
| BL601-Guard | 3 | 24 | 12 |
| CCA-I | 2 | 12 | 12 |
| CEI (CEII, CEIS) | 2 | 12 | 12 |
| CIA (CIC-Grade A) | 4 | 36 | 12 |
| CIB (CIC-Grade B) | 3 | 18 | 12 |
| CIC (CIC-Grade C) | 2 | 9 | 9 |
| CRA (CARA) | 3 | 9 | 9 |
| CST-II | 5 | 24 | 12 |
| CSTS | 5 | 24 | 12 |
| CSTX | 5 | 24 | 12 |
| DCAC | 2 | 9 | 9 |
| DELDVR | 5 | 9 | 9 |
| DL-1 | 2 | 12 | 12 |
| DL-2 | 2 | 12 | 12 |
| DL-3 | 3 | 24 | 12 |
| DL-4 | 4 | 36 | 12 |
| DMAH | 6 | 36 | 12 |
| DMBH | 5 | 18 | 12 |
| DMCH | 2 | 9 | 9 |
| DPA4 | 6 | 36 | 12 |

366
